obs_1_in_lawn,obs_1_x,obs_1_y,obs_1_t,obs_1_z,obs_1_speed,obs_1_time_seconds,obs_1_average_speed_before_shock,obs_1_average_speed_during_shock,obs_1_average_speed_after_shock,obs_2_in_lawn,obs_2_x,obs_2_y,obs_2_t,obs_2_z,obs_2_speed,obs_2_time_seconds,obs_2_average_speed_before_shock,obs_2_average_speed_during_shock,obs_2_average_speed_after_shock,obs_3_in_lawn,obs_3_left_lawn_90_secs,obs_3_x,obs_3_y,obs_3_t,obs_3_z,obs_3_speed,obs_3_time_seconds,obs_3_average_speed_before_shock,obs_3_average_speed_during_shock,obs_3_average_speed_after_shock,obs_4_in_lawn,obs_4_x,obs_4_y,obs_4_t,obs_4_z,obs_4_speed,obs_4_time_seconds,obs_4_average_speed_before_shock,obs_4_average_speed_during_shock,obs_4_average_speed_after_shock,obs_5_in_lawn,obs_5_x,obs_5_y,obs_5_t,obs_5_z,obs_5_speed,obs_5_time_seconds,obs_5_average_speed_before_shock,obs_5_average_speed_during_shock,obs_5_average_speed_after_shock,obs_6_in_lawn,obs_6_x,obs_6_y,obs_6_t,obs_6_z,obs_6_speed,obs_6_time_seconds,obs_6_average_speed_before_shock,obs_6_average_speed_during_shock,obs_6_average_speed_after_shock,obs_7_in_lawn,obs_7_x,obs_7_y,obs_7_t,obs_7_z,obs_7_speed,obs_7_time_seconds,obs_7_average_speed_before_shock,obs_7_average_speed_during_shock,obs_7_average_speed_after_shock,obs_8_in_lawn,obs_8_x,obs_8_y,obs_8_t,obs_8_z,obs_8_speed,obs_8_time_seconds,obs_8_average_speed_before_shock,obs_8_average_speed_during_shock,obs_8_average_speed_after_shock
True,303.7313685451972,318.93533154156216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,423.364788956158,320.3731940550771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,588.7100400472896,431.11475143861924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,400.01979528023253,435.07171551389433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,268.54698648724866,399.14128167224425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,570.3306962928435,408.87790715877736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,554.3960503828483,417.87382710522843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,706.698260792425,272.56956926438085,74.0,0.0,0.0,91.99999999976,0.0,0.0,0.0
True,303.8615704651785,319.06876865408066,1.0,0.0,0.18643498320885737,1.24324324324,0.006428792524443358,0.003056311200145203,0.006014031716414754,True,423.99406470578197,320.6805832160947,1.0,0.0,0.7003399641430672,1.24324324324,0.024149653935967835,0.011480983018738806,0.022591611746550555,False,True,589.1442486306103,431.19267952180064,1.0,0.0,0.4411460982233598,1.24324324324,0.015211934421495167,0.007231903249563276,0.014230519297527736,True,399.8122672231202,434.97915387079047,1.0,0.0,0.22723457541249845,1.24324324324,0.007835675014224084,0.003725156973975384,0.007330147593951563,True,267.27200573937535,400.5957191919616,1.0,0.0,1.9341572857989657,1.24324324324,0.066695078820654,0.03170749648850763,0.06239217050964405,True,570.1403346857163,408.6117351792822,1.0,0.0,0.32723854317060214,1.24324324324,0.011284087695538004,0.005364566281485281,0.01055608203776136,True,554.2874418242583,417.98823421992216,1.0,0.0,0.1577491898285162,1.24324324324,0.005439627235466076,0.0025860522922707577,0.0050886835428553615,True,708.936077577331,272.95987294842604,75.0,0.0,2.2715987604738817,93.243243243,0.0,0.03723932394219478,0.07327737937012521
True,303.9816721620994,319.20838790047134,2.0,0.0,0.18416826970460318,2.48648648648,0.012779422514257259,0.006075463162515746,0.011954943642369695,True,423.69280815198994,320.65037650218864,2.0,0.0,0.30276716593391206,2.48648648648,0.03458990103713722,0.016444379181589825,0.03235829451861224,False,True,589.617978235102,431.3582131866957,2.0,0.0,0.5018178278872484,2.48648648648,0.03251599745208994,0.015458425018206691,0.03041819116485833,True,398.8385478944005,434.2870256309683,2.0,0.0,1.1946425538552168,2.48648648648,0.04903024583681777,0.023309461135536315,0.0458670041699263,True,267.555169564617,400.1041579324453,2.0,0.0,0.5672867209646213,2.48648648648,0.08625668988839956,0.04100727879940307,0.0806917421536641,True,570.0783662820442,408.4324124307362,2.0,0.0,0.1897280453696343,2.48648648648,0.01782643408759436,0.008474862107216992,0.01667634156581408,True,554.1925182839608,418.2355211564859,2.0,0.0,0.2648797982060681,2.48648648648,0.014573413380502907,0.006928344066140727,0.013633193162405946,True,710.3603402328919,273.9800724749003,76.0,0.0,1.7519506801972027,94.48648648624,0.0,0.06595982689624728,0.12979191744100274
True,303.8959492471605,319.2777335960248,3.0,0.0,0.1102598913359614,3.72972972972,0.016581487732738685,0.007883002364744622,0.015511714330626513,True,423.9043039665724,320.72020146068326,3.0,0.0,0.22272405441414528,3.72972972972,0.042270040844521545,0.020095593188379092,0.03954294143519757,False,True,589.9829966746539,431.43175491356595,3.0,0.0,0.37235312111487023,3.72972972972,0.04535576024915443,0.021562574544679976,0.04242958216856382,True,399.8626797340099,435.1425291996139,3.0,0.0,1.3344408495197544,3.72972972972,0.0950454475443955,0.04518554063586016,0.08891348318669258,True,267.06086174086386,400.64671650547757,3.0,0.0,0.7339686844780411,3.72972972972,0.11156595487040098,0.053039552315436535,0.10436815133037511,True,570.0112512882455,408.12310071754473,3.0,0.0,0.31650933368547607,3.72972972972,0.02874054904226595,0.013663539708618238,0.026886320071797178,True,554.0413137612906,418.51998678531857,3.0,0.0,0.32215446863748143,3.72972972972,0.025682188161105714,0.012209564863476487,0.024025272795873086,False,711.6254542096475,275.1876458771635,77.0,0.0,1.7489273558487255,95.72972972948,0.0,0.09463076715606246,0.18620892891999388
True,304.04500990328137,319.2887523319092,4.0,0.0,0.14946736012813575,4.97297297296,0.021735534633708885,0.010333286957009143,0.02033324207669541,True,422.88346615431317,320.4071766390839,4.0,0.0,1.0677520207780087,4.97297297296,0.07908907604376321,0.03759972467654317,0.07398655500868172,False,True,590.474939920136,431.716373217327,4.0,0.0,0.5683447330724652,4.97297297296,0.06495385449303254,0.030879701316359733,0.060763283235417534,True,399.63829918173644,434.95084954473236,4.0,0.0,0.29510628989234544,4.97297297296,0.10522152650620052,0.05002334866688222,0.09843304092515533,True,268.2862381795192,399.3628312486023,4.0,0.0,1.7747982333869483,4.97297297296,0.17276589395270955,0.08213460532177995,0.16161970724608313,True,569.7796439851784,407.5465427095653,4.0,0.0,0.6213381361217307,4.97297297296,0.0501660020119808,0.023849410792581037,0.046929485753143325,True,554.0857217936496,418.1559928844894,4.0,0.0,0.36669283218903326,4.97297297296,0.0383267685814172,0.018220922768214735,0.035854073834229,False,713.031234743778,276.8137851069347,78.0,0.0,2.149545929897989,96.97297297272,0.0,0.1298692250232426,0.25554912020702575
True,304.1781556033757,319.4444397670313,5.0,0.0,0.2048569132553662,6.2162162162,0.02879956612527324,0.013691597010375802,0.026941529601062063,True,421.5707008927997,320.1626409502576,5.0,0.0,1.335346522422638,6.2162162162,0.1251355078514404,0.05949065127363559,0.11706224928037971,False,True,591.156880294133,432.22372158656333,5.0,0.0,0.8499676708287012,6.2162162162,0.09426308452160845,0.044813597559453196,0.08818159519763372,True,399.4008014899511,434.65041940334544,5.0,0.0,0.3829666088017735,6.2162162162,0.11842727163729616,0.05630148979478014,0.11078680249940609,True,269.15402834072677,398.83053011979774,5.0,0.0,1.0180394175154561,6.2162162162,0.20787070145324252,0.09882377610072185,0.19445968845625913,True,569.6774367554829,407.1957436313406,5.0,0.0,0.3653851544402837,6.2162162162,0.06276549009612852,0.02983933135717585,0.05871610363831377,True,554.0604288041258,418.5079247327616,5.0,0.0,0.35283956856807935,6.2162162162,0.050493650256178566,0.02400517799064227,0.047235995400941234,False,713.9655889646399,277.85416257072677,79.0,0.0,1.398357278097735,98.21621621596,0.0,0.15279311482812352,0.3006574195005011
True,304.50195889642544,319.54560126140376,6.0,0.0,0.3392377050587072,7.45945945944,0.040497418023849346,0.01925287086379723,0.03788468137714939,True,420.6701840481376,319.877010455851,6.0,0.0,0.9447303143517289,7.45945945944,0.1577124152428793,0.07497803347612295,0.14753742071108064,False,True,591.8366411904764,432.8603057253363,6.0,0.0,0.9312970750168125,7.45945945944,0.1263767767635675,0.060080762723663236,0.1182234363272083,True,399.2777629969499,434.4312096073722,6.0,0.0,0.2513790074979361,7.45945945944,0.12709551327515603,0.06042245713081188,0.118895802741275,True,268.6288595670153,399.31244693005704,6.0,0.0,0.7127734933989205,7.45945945944,0.2324490977773432,0.11050858746791727,0.21745238179170817,True,569.6240083116433,406.8942072450477,6.0,0.0,0.30623322953213766,7.45945945944,0.07332525663171947,0.03485954823475188,0.06859459491354401,True,554.0996201463328,418.70525389543235,6.0,0.0,0.20118339828209839,7.45945945944,0.05743100881763023,0.02730326648707011,0.053725782442299246,False,715.273071110141,279.08878783563443,80.0,0.0,1.798279484827802,99.4594594592,0.0,0.18227310638267766,0.35866643514010765
True,304.56363755211936,319.66093516086937,7.0,0.0,0.13079053839690916,8.70270270268,0.045007436589260014,0.02139697805063181,0.042103731002856144,True,420.5256946535634,319.8190245797584,7.0,0.0,0.15569054875187263,8.70270270268,0.1630810548550128,0.07753033755402249,0.15255969647727005,False,True,592.9431141543917,433.63137667890516,7.0,0.0,1.3486411069343422,8.70270270268,0.17288164251992413,0.08218963332914427,0.1617279881638,True,400.34079608272685,435.51979766987273,7.0,0.0,1.5215332107039907,8.70270270268,0.1795621757132247,0.0853656245194019,0.16797751921559728,True,268.8002449431253,398.7905596813374,7.0,0.0,0.5493079714700093,8.70270270268,0.2513907519659642,0.11951363618054037,0.23517199377461168,True,569.4881653447378,406.7904127443538,7.0,0.0,0.1709579188922728,8.70270270268,0.07922035728317715,0.037662137069051436,0.07410936649071412,True,553.7930056922951,419.0434757581986,7.0,0.0,0.4565155549134195,8.70270270268,0.07317292450429988,0.03478712804302781,0.06845209066531278,False,716.4128350940426,280.8720814783355,81.0,0.0,2.1164116223214298,100.70270270244,0.0,0.21696837887975026,0.42693777779563763
True,304.5301693871886,319.71911115813,8.0,0.0,0.0671160541234211,9.94594594592,0.04732178328317108,0.022497241232982974,0.04426876500683746,True,420.2972893615462,319.6913801573503,8.0,0.0,0.26165258644500694,9.94594594592,0.17210355783587514,0.0818197242170554,0.16100010249162514,False,True,594.1147817596677,434.348367040024,8.0,0.0,1.3736375632570315,9.94594594592,0.2202484550460287,0.10470828190712839,0.2060388773011236,True,399.4187053633492,434.6568360816716,8.0,0.0,1.2629148813253448,9.94594594592,0.22311096472444347,0.10606914716407968,0.20871670893576968,True,268.3907201841139,399.43370681351047,8.0,0.0,0.7624623019308973,9.94594594592,0.2776825554808227,0.13201301817940753,0.2597675519014148,True,569.4706917015915,406.72163295154104,8.0,0.0,0.07096469618174894,9.94594594592,0.08166741577220298,0.03882549274416207,0.07639855023851246,True,553.8329254164437,419.26715877787996,8.0,0.0,0.22721724773851545,9.94594594592,0.08100800201252455,0.03851200095677396,0.07578167930203909,False,717.5954645335675,282.8787705263045,82.0,0.0,2.3292516666237657,101.94594594568,0.0,0.25515283243095954,0.502074928331888
True,305.04479369758496,320.21595254726594,9.0,0.0,0.7153247841431768,11.18918918916,0.07198815515017717,0.034223877038608824,0.06734375804371413,True,420.09570004614704,319.72712813334334,9.0,0.0,0.20473438858845996,11.18918918916,0.1791633643389255,0.08517602566932524,0.16760443760738192,False,True,596.1914173813487,435.3809149887443,9.0,0.0,2.3191745884346324,11.18918918916,0.3002199925782574,0.1427275374552371,0.28085096079901495,True,399.4514254563409,434.67488904998316,9.0,0.0,0.03736996320904581,11.18918918916,0.22439958414544503,0.10668176951176896,0.20992219161993245,True,267.5114722255076,400.21909411916903,9.0,0.0,1.1789445248199582,11.18918918916,0.318335814957373,0.15133997760268553,0.29779802044399406,True,569.2894122761596,406.1244979897899,9.0,0.0,0.6240451847666312,11.18918918916,0.10318621524691439,0.04905574167476258,0.09652904006969411,True,553.8712347018168,419.0513352261389,9.0,0.0,0.219197187098543,11.18918918916,0.08856652570557776,0.04210539746658615,0.0828525563052179,False,718.4227808232725,284.9916146807558,83.0,0.0,2.2690444385710946,103.18918918892,0.0,0.2923502822436004,0.5752699102212782
