,obs_1_in_lawn,obs_1_x,obs_1_y,obs_1_t,obs_1_z,obs_1_speed,obs_4_in_lawn,obs_4_x,obs_4_y,obs_4_t,obs_4_z,obs_4_speed,obs_5_in_lawn,obs_5_x,obs_5_y
1,FALSE,626.6843046006790,311.0962743014020,0.0,0.0,699.6528492881670,TRUE,507.9519695395330,407.26633861279600,0.0,0.0,651.0614978065930,TRUE,505.76088001821200,419.15825356014500
2,FALSE,625.78850776548,311.3384612126380,1.0,0.0,698.958435017133,TRUE,507.92940476633800,407.1700142126640,1.0,0.0,650.9836408852590,TRUE,506.8399971470200,418.8013912372200
3,FALSE,626.5862240138460,311.1172082195360,2.0,0.0,699.5743086865380,TRUE,507.3412452581950,407.63265819177900,2.0,0.0,650.8145074939800,TRUE,507.41027681618900,418.7247507678270
4,TRUE,618.9300223153940,313.04347890047700,3.0,0.0,693.5925260593910,TRUE,507.56425745187100,407.5175327216990,3.0,0.0,650.9162887178740,TRUE,508.4813367926730,419.2296155824960
5,TRUE,618.6975975415760,313.1194363515460,4.0,0.0,693.4194247530330,TRUE,508.23680078261900,406.9071537663960,4.0,0.0,651.0591965835520,TRUE,509.5384073669970,419.87300449058900
6,TRUE,617.911740977019,313.47960164091500,5.0,0.0,692.8812165748160,TRUE,508.066110263579,407.08733043014600,5.0,0.0,651.0386063783820,TRUE,510.62235124139500,420.43832227374000
7,TRUE,617.7858097297810,313.5986086772780,6.0,0.0,692.822772480672,TRUE,507.2134064407770,407.69320248728500,6.0,0.0,650.7527848788630,TRUE,511.13699423997800,420.815980095981
8,TRUE,617.5825869813580,313.7887689117900,7.0,0.0,692.7276833199060,TRUE,506.91464544088300,408.09139027728000,7.0,0.0,650.7695756417160,TRUE,511.9926218084020,421.05300327551000
9,TRUE,617.2291952342210,314.1679059134460,8.0,0.0,692.5845454206460,TRUE,506.5451373431690,408.32262107261300,8.0,0.0,650.6268815885330,TRUE,512.9638681130960,421.2227566189430
10,TRUE,616.9877545901570,314.4301078836430,9.0,0.0,692.488398500598,TRUE,506.4065078847820,408.54837163576000,9.0,0.0,650.6606820719160,TRUE,513.7381607154580,421.1733055313840
11,TRUE,616.9126609147320,314.620603677714,10.0,0.0,692.508018332946,TRUE,506.41135149993700,408.5463881275960,10.0,0.0,650.6632064133470,FALSE,514.6629571075440,421.31320234119200
12,TRUE,616.7804557919380,314.6464435468250,11.0,0.0,692.4019895144560,TRUE,505.98155604767300,409.04871368021000,11.0,0.0,650.6444384023120,FALSE,515.5392195513170,421.47341767026900
13,TRUE,616.6884668920250,314.8908317877260,12.0,0.0,692.431152636565,TRUE,505.9194082096310,409.2118498606310,12.0,0.0,650.6986903856070,FALSE,517.4338901348050,421.55747800723500
14,TRUE,616.5201248223950,314.9565047270070,13.0,0.0,692.3111036094060,TRUE,506.08172101312300,408.8966632259160,13.0,0.0,650.6267666956930,FALSE,519.286353759662,421.6583243305800
15,TRUE,616.7481574961420,314.55405780247100,14.0,0.0,692.3312394041500,TRUE,506.3518041804970,408.90085801479700,14.0,0.0,650.8395050103220,FALSE,523.0615756239800,422.1059968210170
16,TRUE,616.3869809554880,315.0037294790380,15.0,0.0,692.2140275067560,TRUE,506.2476237870020,408.98808267392800,15.0,0.0,650.8132668894220,FALSE,523.4334534612740,421.9863743432140
17,TRUE,616.1726893480500,315.11481117560300,16.0,0.0,692.0737874826970,TRUE,505.9632625325820,409.26524869325400,16.0,0.0,650.7663688456600,FALSE,524.7169605159730,421.82087133718200
18,TRUE,615.9571686102010,315.3436126808010,17.0,0.0,691.9861469862490,TRUE,505.6566710496910,409.61751216207700,17.0,0.0,650.7497024562550,TRUE,513.155967661969,421.4228318416400
19,TRUE,615.5411332693110,315.83770445208200,18.0,0.0,691.8412695843090,TRUE,505.8138902776590,409.5746263491720,18.0,0.0,650.8448863952790,TRUE,511.90156289235700,420.7414955376640
20,TRUE,615.055710267392,316.3454647113420,19.0,0.0,691.6415110271800,TRUE,505.9741092906680,409.4363332516080,19.0,0.0,650.8824089334470,TRUE,512.2110136725100,420.900134322212
21,TRUE,614.946556381893,316.5070963982410,20.0,0.0,691.6183985959270,TRUE,506.5968399278250,408.4361379312260,20.0,0.0,650.7383783003990,FALSE,516.8526110104780,421.9977772886030
