,Unnamed: 0,obs_1_in_lawn,obs_1_x,obs_1_y,obs_1_t,obs_1_z,obs_1_speed,obs_4_in_lawn,obs_4_x,obs_4_y,obs_4_t,obs_4_z,obs_4_speed,obs_5_in_lawn,obs_5_x,obs_5_y,obs_1_average_speed,obs_1_total_distance,obs_4_average_speed,obs_4_total_distance,obs_5_total_distance
0,1,False,626.684304600679,311.096274301402,0.0,0.0,699.652849288167,True,507.951969539533,407.266338612796,0.0,0.0,651.061497806593,True,505.760880018212,419.15825356014494,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
1,2,False,625.78850776548,311.338461212638,1.0,0.0,698.958435017133,True,507.929404766338,407.170014212664,1.0,0.0,650.983640885259,True,506.83999714702,418.80139123722,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
2,3,False,626.586224013846,311.117208219536,2.0,0.0,699.574308686538,True,507.341245258195,407.63265819177906,2.0,0.0,650.81450749398,True,507.41027681618897,418.724750767827,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
3,4,True,618.930022315394,313.043478900477,3.0,0.0,693.592526059391,True,507.564257451871,407.517532721699,3.0,0.0,650.916288717874,True,508.481336792673,419.229615582496,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
4,5,True,618.697597541576,313.119436351546,4.0,0.0,693.419424753033,True,508.236800782619,406.907153766396,4.0,0.0,651.059196583552,True,509.538407366997,419.873004490589,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
5,6,True,617.911740977019,313.479601640915,5.0,0.0,692.881216574816,True,508.066110263579,407.087330430146,5.0,0.0,651.038606378382,True,510.62235124139505,420.43832227374,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
6,7,True,617.785809729781,313.598608677278,6.0,0.0,692.822772480672,True,507.213406440777,407.69320248728496,6.0,0.0,650.752784878863,True,511.136994239978,420.815980095981,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
7,8,True,617.582586981358,313.78876891179,7.0,0.0,692.727683319906,True,506.914645440883,408.09139027728,7.0,0.0,650.769575641716,True,511.992621808402,421.05300327551,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
8,9,True,617.229195234221,314.167905913446,8.0,0.0,692.584545420646,True,506.545137343169,408.32262107261295,8.0,0.0,650.626881588533,True,512.963868113096,421.222756618943,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
9,10,True,616.987754590157,314.430107883643,9.0,0.0,692.488398500598,True,506.406507884782,408.54837163576,9.0,0.0,650.660682071916,True,513.738160715458,421.173305531384,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
10,11,True,616.912660914732,314.620603677714,10.0,0.0,692.508018332946,True,506.411351499937,408.546388127596,10.0,0.0,650.663206413347,False,514.662957107544,421.313202341192,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
11,12,True,616.780455791938,314.646443546825,11.0,0.0,692.401989514456,True,505.98155604767294,409.04871368021,11.0,0.0,650.644438402312,False,515.539219551317,421.473417670269,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
12,13,True,616.688466892025,314.890831787726,12.0,0.0,692.431152636565,True,505.919408209631,409.211849860631,12.0,0.0,650.698690385607,False,517.433890134805,421.55747800723503,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
13,14,True,616.520124822395,314.956504727007,13.0,0.0,692.311103609406,True,506.08172101312306,408.896663225916,13.0,0.0,650.626766695693,False,519.286353759662,421.65832433058,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
14,15,True,616.748157496142,314.554057802471,14.0,0.0,692.33123940415,True,506.351804180497,408.90085801479694,14.0,0.0,650.839505010322,False,523.06157562398,422.105996821017,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
