,obs_1_in_lawn,obs_1_x,obs_1_y,obs_1_t,obs_1_z,obs_1_speed,obs_2_in_lawn,obs_2_x,obs_2_y,obs_2_t,obs_2_z,obs_2_speed,obs_3_in_lawn,obs_3_x,obs_3_y,obs_3_t,obs_3_z,obs_3_speed
1,TRUE,553.8171117388080,321.80433208765600,0.0,0.0,640.5243331873480,TRUE,411.41047946271700,341.2510236780280,0.0,0.0,534.5192641739340,TRUE,608.4773947233790,362.6562403651120,0.0,0.0,708.3532230216140
2,TRUE,553.9523446982660,321.2818788462310,1.0,0.0,640.3789861259280,TRUE,411.0365619689510,341.53831157876800,1.0,0.0,534.4150760891120,TRUE,608.528909637384,362.99219855523500,1.0,0.0,708.5695238128910
3,TRUE,553.8729806433390,321.2727645151100,2.0,0.0,640.3057612624750,TRUE,411.07410617824600,341.36598190695800,2.0,0.0,534.3338416884580,TRUE,608.5476344048010,363.08020898802600,2.0,0.0,708.6306947193780
4,TRUE,554.2092427890350,320.15146444337800,3.0,0.0,640.0350341801890,TRUE,410.25654657523800,341.85631264816300,3.0,0.0,534.0188877794860,TRUE,608.7349141771730,363.4039382003140,3.0,0.0,708.9574162372430
5,TRUE,555.0485514335470,318.8301085998890,4.0,0.0,640.1027515940670,TRUE,410.1272374876760,341.8786366573270,4.0,0.0,533.9338471495750,TRUE,608.7431884466310,363.50122775451400,4.0,0.0,709.0143948180530
6,TRUE,555.6712202937710,318.232906580611,5.0,0.0,640.3457565202670,TRUE,410.01797846470800,342.0227565536170,5.0,0.0,533.9422334530400,TRUE,609.004633742593,364.10092889401600,5.0,0.0,709.5464257830030
7,TRUE,556.9477301296500,317.48542001368900,6.0,0.0,641.0832754157900,TRUE,409.159319849364,342.62106674117200,6.0,0.0,533.6670726159270,TRUE,608.8834618544340,363.89522797581400,6.0,0.0,709.3368784036320
8,TRUE,557.2586951295120,317.1874926452030,7.0,0.0,641.2060189892140,TRUE,408.58105454294600,343.0992661422410,7.0,0.0,533.5312404712300,TRUE,608.8281694422020,363.7614732429610,7.0,0.0,709.2208043495570
9,TRUE,557.1543824445590,317.19233872227300,8.0,0.0,641.1177626780300,TRUE,407.9404791729310,343.4489328237600,8.0,0.0,533.2659786688250,TRUE,608.9332016406110,363.8823156122590,8.0,0.0,709.3729510459390
10,TRUE,557.0373241296030,317.2188789199770,9.0,0.0,641.0291706441420,TRUE,407.5095718306220,343.91054149498200,9.0,0.0,533.2340121231470,TRUE,609.1926629797220,364.3446259035840,9.0,0.0,709.8328726208360
11,TRUE,558.0196210554790,316.7070393449240,10.0,0.0,641.6301475566180,TRUE,407.0760414499430,344.1832092709400,10.0,0.0,533.0787794187650,TRUE,609.4448792417260,365.3138105789700,10.0,0.0,710.547142020633
12,TRUE,558.3134625095880,316.61373465875100,11.0,0.0,641.8396835612510,TRUE,406.6978442945420,344.58686883809000,11.0,0.0,533.0508856849100,TRUE,609.7353883855470,365.9464811326480,11.0,0.0,711.1216990804320
13,TRUE,559.2391342490860,316.2078966713100,12.0,0.0,642.445206374023,TRUE,406.78989085611700,344.641506852652,12.0,0.0,533.1564344058860,TRUE,609.56739172325,365.4790118526740,12.0,0.0,710.7371617954790
14,TRUE,559.4820051560520,316.13016539016200,13.0,0.0,642.6183903087810,TRUE,406.94360575313100,344.507630009703,13.0,0.0,533.1872142111650,TRUE,609.5327172466050,365.5062784947560,13.0,0.0,710.7214454433720
