,Unnamed: 0,obs_1_in_lawn,obs_1_x,obs_1_y,obs_1_t,obs_1_z,obs_1_speed,obs_2_in_lawn,obs_2_x,obs_2_y,obs_2_t,obs_2_z,obs_2_speed,obs_3_in_lawn,obs_3_x,obs_3_y,obs_3_t,obs_3_z,obs_3_speed,obs_1_average_speed,obs_1_total_distance,obs_2_average_speed,obs_2_total_distance,obs_3_average_speed,obs_3_total_distance
0,1,True,553.817111738808,321.804332087656,0.0,0.0,640.524333187348,True,411.410479462717,341.251023678028,0.0,0.0,534.519264173934,True,608.477394723379,362.656240365112,0.0,0.0,708.353223021614,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
1,2,True,553.952344698266,321.281878846231,1.0,0.0,640.378986125928,True,411.036561968951,341.538311578768,1.0,0.0,534.415076089112,True,608.528909637384,362.99219855523506,1.0,0.0,708.569523812891,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
2,3,True,553.872980643339,321.27276451511,2.0,0.0,640.305761262475,True,411.074106178246,341.365981906958,2.0,0.0,534.333841688458,True,608.547634404801,363.080208988026,2.0,0.0,708.630694719378,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
3,4,True,554.209242789035,320.151464443378,3.0,0.0,640.035034180189,True,410.256546575238,341.856312648163,3.0,0.0,534.018887779486,True,608.734914177173,363.403938200314,3.0,0.0,708.957416237243,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
4,5,True,555.048551433547,318.830108599889,4.0,0.0,640.102751594067,True,410.127237487676,341.878636657327,4.0,0.0,533.933847149575,True,608.743188446631,363.501227754514,4.0,0.0,709.014394818053,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
5,6,True,555.671220293771,318.232906580611,5.0,0.0,640.345756520267,True,410.017978464708,342.022756553617,5.0,0.0,533.94223345304,True,609.004633742593,364.100928894016,5.0,0.0,709.546425783003,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
6,7,True,556.94773012965,317.485420013689,6.0,0.0,641.08327541579,True,409.159319849364,342.621066741172,6.0,0.0,533.667072615927,True,608.883461854434,363.895227975814,6.0,0.0,709.336878403632,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
7,8,True,557.258695129512,317.187492645203,7.0,0.0,641.206018989214,True,408.581054542946,343.099266142241,7.0,0.0,533.53124047123,True,608.828169442202,363.761473242961,7.0,0.0,709.220804349557,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
8,9,True,557.154382444559,317.192338722273,8.0,0.0,641.11776267803,True,407.940479172931,343.44893282376,8.0,0.0,533.265978668825,True,608.933201640611,363.882315612259,8.0,0.0,709.372951045939,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
9,10,True,557.037324129603,317.218878919977,9.0,0.0,641.029170644142,True,407.509571830622,343.910541494982,9.0,0.0,533.234012123147,True,609.192662979722,364.344625903584,9.0,0.0,709.832872620836,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
10,11,True,558.019621055479,316.707039344924,10.0,0.0,641.630147556618,True,407.076041449943,344.18320927094,10.0,0.0,533.078779418765,True,609.444879241726,365.31381057897,10.0,0.0,710.547142020633,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
11,12,True,558.313462509588,316.613734658751,11.0,0.0,641.839683561251,True,406.697844294542,344.58686883809,11.0,0.0,533.05088568491,True,609.735388385547,365.946481132648,11.0,0.0,711.121699080432,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
12,13,True,559.239134249086,316.20789667131,12.0,0.0,642.445206374023,True,406.789890856117,344.641506852652,12.0,0.0,533.156434405886,True,609.56739172325,365.479011852674,12.0,0.0,710.737161795479,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
13,14,True,559.482005156052,316.130165390162,13.0,0.0,642.618390308781,True,406.94360575313107,344.507630009703,13.0,0.0,533.187214211165,True,609.532717246605,365.506278494756,13.0,0.0,710.721445443372,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
14,15,True,559.700941414871,316.06724939276,14.0,0.0,642.778072089736,True,407.604227765882,343.926712141015,14.0,0.0,533.31678186304,True,609.523547709539,365.51014218471903,14.0,0.0,710.71556846063,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
15,16,True,559.407970244648,316.120045424265,15.0,0.0,642.5489555608,True,407.665737692955,343.774258221287,15.0,0.0,533.265500763304,True,609.709648517624,366.00112475572,15.0,0.0,711.127751404722,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
16,17,True,559.668770033972,316.045573111899,16.0,0.0,642.739400095379,True,407.486208040909,343.923028852525,16.0,0.0,533.224211302013,True,609.915180102618,366.62570311540094,16.0,0.0,711.625556809528,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
17,18,True,560.852311437602,315.622487018796,17.0,0.0,643.562638409682,True,406.093556555275,345.148051172929,17.0,0.0,532.953238008911,True,609.382748100874,364.788413642886,17.0,0.0,710.223852324791,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
18,19,True,561.325911639842,315.585234296939,18.0,0.0,643.957156326843,True,405.191443263802,345.744074353917,18.0,0.0,532.652861294342,True,609.129616397623,364.61689018117903,18.0,0.0,709.918563060658,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
19,20,True,562.871999969063,314.983651062149,19.0,0.0,645.011309036993,True,404.824259637112,346.02172912703,19.0,0.0,532.553958035048,True,609.150493670185,364.772796946649,19.0,0.0,710.016561307489,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
20,21,True,565.043835807602,314.457519870899,20.0,0.0,646.65142711319,True,404.683861935322,346.217930203183,20.0,0.0,532.574767807359,True,608.998052982348,364.313407694601,20.0,0.0,709.649834469327,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
21,22,True,567.078407348675,313.710847928097,21.0,0.0,648.068218777063,True,404.74672493865,346.027041804112,21.0,0.0,532.498474183981,True,609.071398792137,364.221241858024,21.0,0.0,709.665471787385,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
22,23,True,567.566200445329,313.553085083642,22.0,0.0,648.418791409855,True,404.88843037722,345.873644947409,22.0,0.0,532.506543924613,True,609.10977698681,364.394436399453,22.0,0.0,709.787310185098,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
23,24,True,567.705151241999,313.485224928129,23.0,0.0,648.507613675383,True,404.848054946672,345.967113707056,23.0,0.0,532.536563402828,True,609.037131617426,364.238777896644,23.0,0.0,709.645062698546,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
24,25,True,568.483059733745,313.109619508715,24.0,0.0,649.007413696587,True,404.497220823237,346.180200682039,24.0,0.0,532.408426866047,True,609.212691410234,364.42607567820306,24.0,0.0,709.891870646168,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
25,26,True,569.018411720177,312.852956516634,25.0,0.0,649.352697135964,True,404.628792894392,346.194561945595,25.0,0.0,532.517731873667,True,609.197717463093,364.33628202045,25.0,0.0,709.832927778592,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
26,27,True,569.234586859989,312.630182544633,26.0,0.0,649.434866569044,True,404.306288049645,346.376056783002,26.0,0.0,532.390784357716,True,609.094087645068,364.159987548703,26.0,0.0,709.653509915683,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
27,28,True,570.02346711922,311.959627598076,27.0,0.0,649.804249230294,True,403.73981412814703,346.887019030451,27.0,0.0,532.293567013601,True,609.139175136394,364.191968718894,27.0,0.0,709.708619621595,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
28,29,True,570.101257983288,311.80430718677,28.0,0.0,649.797945775723,True,403.258723305044,347.107981540831,28.0,0.0,532.072879191341,True,609.274971565561,364.591151714939,28.0,0.0,710.03006900063,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
29,30,True,570.638613046171,311.389254364965,29.0,0.0,650.070530352843,True,402.63179831317103,347.628689321724,29.0,0.0,531.93803271851,True,609.437667855503,364.94985882592,29.0,0.0,710.35390507705,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
30,31,True,571.091633151768,310.998765302462,30.0,0.0,650.28138945814,True,402.574565454076,347.766764009956,30.0,0.0,531.984964919588,True,609.568652124568,365.149823394725,30.0,0.0,710.569022107044,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
31,32,True,571.592999721723,310.316737870599,31.0,0.0,650.396060207569,True,402.343740131486,347.882281335538,31.0,0.0,531.885858892875,True,609.774503575235,365.799546173887,31.0,0.0,711.079639134356,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
32,33,True,571.80379276257,310.08532146934,32.0,0.0,650.470970919075,True,401.88322131747,348.228083174661,32.0,0.0,531.763971596427,True,609.774966624516,365.611186438842,32.0,0.0,710.983157023532,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
33,34,True,572.277447639777,309.447167808985,33.0,0.0,650.583604728939,True,401.107767408224,349.151404577342,33.0,0.0,531.783926415175,True,609.721751391057,365.355226184138,33.0,0.0,710.805919657005,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
34,35,True,572.771779766078,308.887831029822,34.0,0.0,650.752797807822,True,400.751694294501,349.539833161696,34.0,0.0,531.770641768253,True,609.750437914293,365.57411678587295,34.0,0.0,710.94305777639,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
35,36,True,572.82481860559,308.803337153568,35.0,0.0,650.759382450769,True,399.604222777422,350.881324180528,35.0,0.0,531.790596494737,True,609.756949697814,365.65508759053506,35.0,0.0,710.990281780015,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
36,37,True,573.172597292474,308.297648913273,36.0,0.0,650.825834315489,True,398.828914681882,351.70650802761,36.0,0.0,531.753675093368,True,609.41519049457,365.036242168739,36.0,0.0,710.379006236958,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
37,38,True,574.279734229311,306.92637138142,37.0,0.0,651.153599848648,True,398.298896239412,352.135482850611,37.0,0.0,531.64030041746,True,608.713818452265,363.365447431863,37.0,0.0,708.919573126666,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
38,39,True,574.932375317405,306.207789935776,38.0,0.0,651.391162670685,True,397.909525896593,352.488710875659,38.0,0.0,531.582808313094,True,608.60360420324,363.171660472578,38.0,0.0,708.725618289323,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
39,40,True,575.644047758462,305.659764060013,39.0,0.0,651.762196728967,True,397.57920149042707,352.834109309078,39.0,0.0,531.564793933624,True,608.556908051595,363.11402449779297,39.0,0.0,708.655985033854,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
40,41,True,575.93481886023,305.245888212251,40.0,0.0,651.825105259111,True,397.459862533409,352.907741326295,40.0,0.0,531.524426732303,True,608.444521343277,362.978982451256,40.0,0.0,708.490280281952,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
41,42,True,575.935162182728,305.264590174657,41.0,0.0,651.834166834592,True,396.981704637198,353.47824248223,41.0,0.0,531.54618023741,True,608.551554767868,363.051503245416,41.0,0.0,708.61935396879,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
42,43,True,574.435648132127,306.680356766292,42.0,0.0,651.175210731548,True,396.887915640457,353.467939296959,42.0,0.0,531.469285746849,True,608.513605896818,363.11126810475,42.0,0.0,708.61738730163,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
43,44,True,573.553999455415,307.93368253187,43.0,0.0,650.989510767217,True,397.14515358335694,353.404020443793,43.0,0.0,531.618918663157,True,608.556220964853,363.125590392285,43.0,0.0,708.661321417197,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
44,45,True,573.414438811664,307.902252542212,44.0,0.0,650.851684916205,True,397.061772113569,353.222421297314,44.0,0.0,531.435913145795,True,608.644554902222,363.24689293405,44.0,0.0,708.799336510952,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
45,46,True,573.349284450344,308.167502138321,45.0,0.0,650.919819450824,True,396.940921839923,353.289135141422,45.0,0.0,531.389977737727,True,608.642179640629,363.094521918372,45.0,0.0,708.71922133157,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
46,47,True,573.484130074441,307.93878282131,46.0,0.0,650.930366024438,True,396.614564614655,353.540867923166,46.0,0.0,531.313709738736,True,608.805331914121,363.459463401094,46.0,0.0,709.04634101226,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
47,48,True,573.624178740349,307.766735484727,47.0,0.0,650.972397192436,True,396.433163516574,353.637113950352,47.0,0.0,531.242375473656,True,608.949082855368,363.953589609256,47.0,0.0,709.423146577455,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
48,49,True,573.645650569128,307.634477157503,48.0,0.0,650.928800985828,True,396.02979187414,353.860924251857,48.0,0.0,531.090528784174,True,609.145780319467,364.384272285532,48.0,0.0,709.812989152825,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
49,50,True,573.895674013855,307.436210362622,49.0,0.0,651.055503082454,True,395.30972652788,354.155237771148,49.0,0.0,530.750141147683,True,609.369603470448,364.60275118531297,49.0,0.0,710.117229621723,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
50,51,True,574.367215714417,306.968978652653,50.0,0.0,651.250836730814,True,394.939821678458,354.3490243635,50.0,0.0,530.604083865528,True,609.340474155618,364.76408520387906,50.0,0.0,710.175084960615,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
51,52,True,574.33598860041,306.847612187342,51.0,0.0,651.166096250936,True,394.398156576267,354.630351656332,51.0,0.0,530.389095124185,True,609.360438450589,364.766324105016,51.0,0.0,710.19336461965,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
52,53,True,574.752869496077,306.606417161421,52.0,0.0,651.420260690852,True,393.855856729841,354.916834405068,52.0,0.0,530.177701553462,True,609.23126675633,364.678401623304,52.0,0.0,710.037374371272,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
53,54,True,575.259015724583,306.218175516436,53.0,0.0,651.684360859635,True,392.521167964074,355.522412553883,53.0,0.0,529.593290297389,True,609.418902751639,364.74581671873,53.0,0.0,710.232996871326,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
54,55,True,575.64332828239,305.954181679868,54.0,0.0,651.899687592673,True,392.459867640807,355.770164959064,54.0,0.0,529.714222938784,True,608.557727761821,363.20987715719,54.0,0.0,708.70580841642,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
55,56,True,575.985773043729,305.872758205494,55.0,0.0,652.163901915016,True,391.816487884113,356.174158841055,55.0,0.0,529.509387644803,True,608.382869951096,362.525351028777,55.0,0.0,708.205017342061,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
56,57,True,575.946453891688,305.874289633177,56.0,0.0,652.129894123104,True,390.929576847696,356.316501644828,56.0,0.0,528.949320255474,True,608.469905799038,362.519625767255,56.0,0.0,708.276856412463,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
57,58,True,576.156795549631,305.726652740185,57.0,0.0,652.246455915045,True,390.864481764306,356.400295382621,57.0,0.0,528.957667166002,True,608.132966284571,361.672960229457,57.0,0.0,707.554262825976,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
58,59,True,576.371272477304,305.595260442496,58.0,0.0,652.374361039751,True,391.009915915726,356.56931136735,58.0,0.0,529.179013334249,True,607.996275112684,360.804892803933,58.0,0.0,706.993381314249,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
59,60,True,576.726995994031,305.508960003821,59.0,0.0,652.648260972873,True,389.944585103699,356.904320486149,59.0,0.0,528.618457333241,True,608.201045585211,361.848363857729,59.0,0.0,707.702444730452,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
60,61,True,577.294338093089,305.340637123525,60.0,0.0,653.070943675599,True,389.752029523262,357.075224187922,60.0,0.0,528.591865475015,True,609.433592230076,364.142305064029,60.0,0.0,709.935857437698,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
61,62,True,578.6331780303,305.100297079456,61.0,0.0,654.142603715288,True,389.78802790708096,357.191914235113,61.0,0.0,528.697238780983,True,610.351476196275,364.658234182294,61.0,0.0,710.98843327576,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
62,63,True,580.169559370354,305.23418249833,62.0,0.0,655.56435518217,True,389.400454435565,357.116602215501,62.0,0.0,528.360654754467,True,611.918481908132,365.525305340822,62.0,0.0,712.778350783224,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
63,64,True,581.006782696914,305.404287145324,63.0,0.0,656.384536797267,True,388.86415562975907,357.384690872581,63.0,0.0,528.146900780205,True,612.067428415141,365.568629171767,63.0,0.0,712.928439298959,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
64,65,True,581.904027579219,305.542552154638,64.0,0.0,657.243142596472,True,389.095944478128,357.446948536999,64.0,0.0,528.359702312485,True,612.336062887086,365.765301513616,64.0,0.0,713.259917353698,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
65,66,True,581.941211913255,305.544999460888,65.0,0.0,657.277202418144,True,389.209687349916,357.359174511862,65.0,0.0,528.384103030001,True,612.712227768789,365.864874608601,65.0,0.0,713.633926134233,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
66,67,True,581.73019424242,305.641156392744,66.0,0.0,657.135096745271,True,389.525658020699,357.246035463596,66.0,0.0,528.540412940123,True,612.321203479053,365.69069729858,66.0,0.0,713.208905104779,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
67,68,True,582.014765516327,305.776771002379,67.0,0.0,657.450090093284,True,389.659896446442,357.180269012801,67.0,0.0,528.594910560732,True,612.119809384981,365.589100471785,67.0,0.0,712.983906848727,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
68,69,True,582.515720934337,306.007311170301,68.0,0.0,658.000789988376,True,389.379014833008,357.234256669003,68.0,0.0,528.424385631643,True,611.817444796249,365.422719289894,68.0,0.0,712.639003654889,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
69,70,True,582.577649411544,305.967469906865,69.0,0.0,658.037088799019,True,389.47902357006,357.191612816492,69.0,0.0,528.469259340157,True,611.421991183963,365.301613158754,69.0,0.0,712.237404156613,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
70,71,True,582.588813413884,305.974769423123,70.0,0.0,658.050366642654,True,389.446915067526,357.214298688306,70.0,0.0,528.460930290018,True,611.600509328956,365.249222386573,70.0,0.0,712.363795729004,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
71,72,True,583.026187702411,306.217125400857,71.0,0.0,658.550274038035,True,390.76377081467695,356.558649039484,71.0,0.0,528.989976073429,True,611.46822618165,365.237347096283,71.0,0.0,712.244137458263,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
72,73,True,583.727812539506,306.461727891168,72.0,0.0,659.285180930223,True,391.853512997151,356.221818732021,72.0,0.0,529.568843295144,True,611.116937260763,365.049703873321,72.0,0.0,711.846329838803,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
73,74,True,584.688264347832,306.957465479702,73.0,0.0,660.365998579427,True,392.49797659522,355.906896200873,73.0,0.0,529.834295223215,True,611.338581310537,365.105945744534,73.0,0.0,712.065455289603,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
74,75,True,585.47435665674,307.23640538307,74.0,0.0,661.191675004558,True,391.94087901208496,356.160839915473,74.0,0.0,529.592481564892,True,611.648089920715,365.326603871332,74.0,0.0,712.444323017469,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
75,76,True,585.630386761047,307.245690485441,75.0,0.0,661.334154735538,True,392.20563840773,356.151407783917,75.0,0.0,529.782113764971,True,611.335220688033,365.128402806953,75.0,0.0,712.074085043153,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
76,77,True,586.726131021484,307.606439862377,76.0,0.0,662.47209350149,True,392.03614934392897,356.128451520163,76.0,0.0,529.641214761998,True,611.632831786451,365.152952357478,76.0,0.0,712.342192723761,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
77,78,True,587.976813616552,308.112535814377,77.0,0.0,663.814784466752,True,391.399260469336,356.366300461049,77.0,0.0,529.330068294101,True,611.421426243793,365.135552745772,77.0,0.0,712.151762160956,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
78,79,True,589.647771723154,308.925862293649,78.0,0.0,665.672354159278,True,391.520591908052,356.442314060377,78.0,0.0,529.470959676495,True,610.854037739324,364.810398881115,78.0,0.0,711.497914652062,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
79,80,True,591.224868768301,309.729385617409,79.0,0.0,667.442235526815,True,391.01749339662,356.5565981897,79.0,0.0,529.176046183864,True,610.552532901605,364.831621440468,79.0,0.0,711.249961290295,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
80,81,True,592.305309876933,310.362002205861,80.0,0.0,668.692868603846,True,391.248449134899,356.576307040997,80.0,0.0,529.360001977349,True,610.037334387393,364.29893312027104,80.0,0.0,710.534490379632,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
81,82,True,593.739018219815,311.102789959761,81.0,0.0,670.30662213451,True,391.185022764586,356.637084056038,81.0,0.0,529.354070315251,True,610.465907770151,364.573731911321,81.0,0.0,711.043339431136,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
82,83,True,595.5843537726,312.387252199913,82.0,0.0,672.53737278737,True,391.202122560221,356.569815212871,82.0,0.0,529.321389910291,True,611.013038869295,365.023458802659,82.0,0.0,711.743675170034,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
83,84,True,598.002968650994,314.0478793034,83.0,0.0,675.450679924422,True,391.431045503438,356.47471894033,83.0,0.0,529.426565849789,True,611.04739842289,365.003561368004,83.0,0.0,711.762968220957,691.4475252260178,219.5285984417841,529.3983127428723,104.81954926111933,714.3754829219017,169.9196914031969
