,obs_2_in_lawn,obs_2_x,obs_2_y,obs_2_t,obs_2_z,obs_2_speed,obs_3_in_lawn,obs_3_x,obs_3_y,obs_3_t,obs_3_z,obs_3_speed,obs_4_in_lawn,obs_4_x,obs_4_y,obs_4_t,obs_4_z,obs_4_speed,obs_5_in_lawn,obs_5_x,obs_5_y,obs_5_t,obs_5_z,obs_5_speed
1,FALSE,574.9913673292520,363.1111699543540,0.0,0.0,680.0476411611040,FALSE,122.21367733646000,319.76945425401000,0.0,0.0,342.32833187162300,TRUE,656.7857339077590,369.5990871306470,0.0,0.0,753.6384978705390,FALSE,210.41240865631300,601.1446027475350,0.0,0.0,636.9051853526110
2,FALSE,574.2931426642530,362.70616540461300,1.0,0.0,679.241029483424,FALSE,121.7351774046950,317.909570450484,1.0,0.0,340.4202526316020,TRUE,656.5759771425550,369.0558228991570,1.0,0.0,753.1893614334140,FALSE,208.06198146397100,597.7462512220730,1.0,0.0,632.9220876069630
3,FALSE,573.8351997949460,362.60023387706500,2.0,0.0,678.7972938450830,FALSE,121.6125441163850,316.9482114139480,2.0,0.0,339.47868799817200,TRUE,656.5469624371720,368.82545182421800,2.0,0.0,753.0512119363570,FALSE,206.9833410333980,595.919044070066,2.0,0.0,630.841985405798
4,FALSE,573.2518928699020,362.3859697831050,3.0,0.0,678.1897402457270,FALSE,121.33733936022800,315.7227845577690,3.0,0.0,338.2360516147420,TRUE,656.3746900664970,368.6520303385040,3.0,0.0,752.816081943386,FALSE,206.48292196410000,595.2056078154360,3.0,0.0,630.0038989068040
5,FALSE,572.7902683730780,362.18220378692100,4.0,0.0,677.6906671062060,FALSE,121.3613658582950,314.6066562701850,4.0,0.0,337.20309798769200,TRUE,656.2369912269390,368.2008928473820,4.0,0.0,752.475173110844,FALSE,205.1867799867620,593.7101157151550,4.0,0.0,628.1666309060340
6,FALSE,571.6545128381950,361.5493873004250,5.0,0.0,676.392520290982,FALSE,121.0501355434490,312.7331405048390,5.0,0.0,335.3433352328720,TRUE,656.02601079699,367.82501094704400,5.0,0.0,752.1072832518010,FALSE,203.0351716128520,591.7002432555050,5.0,0.0,625.5657110012380
7,FALSE,571.2228409557500,361.52060687212100,6.0,0.0,676.0123395491720,FALSE,120.56144108522900,311.0521919510570,6.0,0.0,333.599351309478,TRUE,655.7035281679890,367.10848340701900,6.0,0.0,751.4757184642430,FALSE,200.63289944976300,589.3242749993440,6.0,0.0,622.5404898037730
8,FALSE,570.9931776751670,361.3868188529800,7.0,0.0,675.7467290281630,FALSE,120.5371524004200,311.03015517177700,7.0,0.0,333.57002643370400,TRUE,655.3140753346650,365.9213861972460,7.0,0.0,750.5564590410510,FALSE,199.97120604710100,588.739727891712,7.0,0.0,621.7740348759660
9,FALSE,570.4276175118850,361.23530015119200,8.0,0.0,675.1878323071340,FALSE,120.11908562555600,309.80718069575900,8.0,0.0,332.27862396214200,TRUE,655.0997949375200,365.34306132857300,8.0,0.0,750.0875240850990,FALSE,200.5610755114050,589.1838684635950,8.0,0.0,622.384427719732
10,FALSE,569.0727078124850,360.66608226606300,9.0,0.0,673.7386508685580,FALSE,119.25776242183800,307.64827407796800,9.0,0.0,329.9543520564870,TRUE,655.271180270379,365.9471438148980,9.0,0.0,750.5315661311100,FALSE,201.15138037936400,589.6847601094500,9.0,0.0,623.0489500303030
11,FALSE,567.5116831111340,360.22590768332500,10.0,0.0,672.1846584339070,FALSE,118.79321595903700,306.37061932561400,10.0,0.0,328.5951681687520,TRUE,655.2597842001340,365.8570503985100,10.0,0.0,750.4776919511360,FALSE,201.63589264542900,589.8318326555760,10.0,0.0,623.3447072180480
12,FALSE,568.1533172158580,360.5092254772740,11.0,0.0,672.8782159630420,FALSE,118.22412255041700,305.01509976647300,11.0,0.0,327.1255939824450,TRUE,655.1116712836310,365.6163591897790,11.0,0.0,750.231047050988,FALSE,201.93865059479800,589.3726223924390,11.0,0.0,623.0082717185930
13,FALSE,570.8684606435430,361.3946061983970,12.0,0.0,675.6455141172940,FALSE,117.28893562191800,303.26597390993000,12.0,0.0,325.15680117577200,TRUE,655.0488188877890,365.37411041115100,12.0,0.0,750.0581282040930,FALSE,202.21935299009300,588.2474591800020,12.0,0.0,622.0351597421650
14,FALSE,573.4050640957850,362.4729831885330,13.0,0.0,678.3657059966150,FALSE,116.43292792039300,301.48107750687400,13.0,0.0,323.18333310803800,TRUE,654.6729908847800,364.49012960258000,13.0,0.0,749.2995259385450,FALSE,202.19039545923,586.4071163026490,13.0,0.0,620.2856294211150
15,FALSE,575.1867060062480,363.3721247090620,14.0,0.0,680.3521498326400,FALSE,114.85702655017300,298.4043430644340,14.0,0.0,319.7456622186820,TRUE,654.0820095599640,363.27632120985200,14.0,0.0,748.1931306699930,FALSE,201.82767840716800,584.0132433852260,14.0,0.0,617.9044264451900
16,FALSE,576.3968856835660,364.2528690405270,15.0,0.0,681.8456734701560,FALSE,113.80894075298300,295.8729513787650,15.0,0.0,317.0067481188640,TRUE,653.9472413254190,362.8997993888050,15.0,0.0,747.8925449779270,FALSE,201.67790206921400,582.0805434316200,15.0,0.0,616.0290051813220
