,Unnamed: 0,obs_2_in_lawn,obs_2_x,obs_2_y,obs_2_t,obs_2_z,obs_2_speed,obs_3_in_lawn,obs_3_x,obs_3_y,obs_3_t,obs_3_z,obs_3_speed,obs_4_in_lawn,obs_4_x,obs_4_y,obs_4_t,obs_4_z,obs_4_speed,obs_5_in_lawn,obs_5_x,obs_5_y,obs_5_t,obs_5_z,obs_5_speed,obs_2_average_speed,obs_2_total_distance,obs_3_average_speed,obs_3_total_distance,obs_4_average_speed,obs_4_total_distance,obs_5_average_speed,obs_5_total_distance
0,1,False,574.991367329252,363.111169954354,0.0,0.0,680.047641161104,False,122.21367733646,319.76945425401,0.0,0.0,342.328331871623,True,656.785733907759,369.599087130647,0.0,0.0,753.638497870539,False,210.412408656313,601.144602747535,0.0,0.0,636.905185352611,701.1456364036012,296.83011848699465,330.702210747283,485.776078555126,693.4088450138544,304.40920445989275,482.58543065141987,526.161321869726
1,2,False,574.293142664253,362.70616540461293,1.0,0.0,679.241029483424,False,121.735177404695,317.909570450484,1.0,0.0,340.420252631602,True,656.575977142555,369.055822899157,1.0,0.0,753.189361433414,False,208.061981463971,597.746251222073,1.0,0.0,632.922087606963,701.1456364036012,296.83011848699465,330.702210747283,485.776078555126,693.4088450138544,304.40920445989275,482.58543065141987,526.161321869726
2,3,False,573.835199794946,362.60023387706497,2.0,0.0,678.797293845083,False,121.612544116385,316.948211413948,2.0,0.0,339.478687998172,True,656.546962437172,368.825451824218,2.0,0.0,753.051211936357,False,206.983341033398,595.919044070066,2.0,0.0,630.841985405798,701.1456364036012,296.83011848699465,330.702210747283,485.776078555126,693.4088450138544,304.40920445989275,482.58543065141987,526.161321869726
3,4,False,573.251892869902,362.385969783105,3.0,0.0,678.189740245727,False,121.337339360228,315.722784557769,3.0,0.0,338.236051614742,True,656.374690066497,368.652030338504,3.0,0.0,752.816081943386,False,206.4829219641,595.205607815436,3.0,0.0,630.003898906804,701.1456364036012,296.83011848699465,330.702210747283,485.776078555126,693.4088450138544,304.40920445989275,482.58543065141987,526.161321869726
4,5,False,572.790268373078,362.182203786921,4.0,0.0,677.690667106206,False,121.361365858295,314.606656270185,4.0,0.0,337.203097987692,True,656.236991226939,368.200892847382,4.0,0.0,752.475173110844,False,205.186779986762,593.710115715155,4.0,0.0,628.166630906034,701.1456364036012,296.83011848699465,330.702210747283,485.776078555126,693.4088450138544,304.40920445989275,482.58543065141987,526.161321869726
5,6,False,571.654512838195,361.549387300425,5.0,0.0,676.392520290982,False,121.050135543449,312.733140504839,5.0,0.0,335.343335232872,True,656.02601079699,367.825010947044,5.0,0.0,752.107283251801,False,203.035171612852,591.700243255505,5.0,0.0,625.565711001238,701.1456364036012,296.83011848699465,330.702210747283,485.776078555126,693.4088450138544,304.40920445989275,482.58543065141987,526.161321869726
6,7,False,571.22284095575,361.52060687212094,6.0,0.0,676.012339549172,False,120.561441085229,311.052191951057,6.0,0.0,333.599351309478,True,655.703528167989,367.10848340701904,6.0,0.0,751.475718464243,False,200.632899449763,589.324274999344,6.0,0.0,622.540489803773,701.1456364036012,296.83011848699465,330.702210747283,485.776078555126,693.4088450138544,304.40920445989275,482.58543065141987,526.161321869726
7,8,False,570.993177675167,361.38681885298,7.0,0.0,675.746729028163,False,120.53715240042,311.030155171777,7.0,0.0,333.570026433704,True,655.314075334665,365.921386197246,7.0,0.0,750.556459041051,False,199.971206047101,588.739727891712,7.0,0.0,621.774034875966,701.1456364036012,296.83011848699465,330.702210747283,485.776078555126,693.4088450138544,304.40920445989275,482.58543065141987,526.161321869726
8,9,False,570.427617511885,361.235300151192,8.0,0.0,675.187832307134,False,120.119085625556,309.807180695759,8.0,0.0,332.278623962142,True,655.09979493752,365.34306132857296,8.0,0.0,750.087524085099,False,200.561075511405,589.183868463595,8.0,0.0,622.384427719732,701.1456364036012,296.83011848699465,330.702210747283,485.776078555126,693.4088450138544,304.40920445989275,482.58543065141987,526.161321869726
9,10,False,569.072707812485,360.66608226606303,9.0,0.0,673.738650868558,False,119.257762421838,307.648274077968,9.0,0.0,329.954352056487,True,655.271180270379,365.947143814898,9.0,0.0,750.53156613111,False,201.151380379364,589.68476010945,9.0,0.0,623.048950030303,701.1456364036012,296.83011848699465,330.702210747283,485.776078555126,693.4088450138544,304.40920445989275,482.58543065141987,526.161321869726
10,11,False,567.511683111134,360.225907683325,10.0,0.0,672.184658433907,False,118.793215959037,306.370619325614,10.0,0.0,328.595168168752,True,655.259784200134,365.85705039851,10.0,0.0,750.477691951136,False,201.635892645429,589.831832655576,10.0,0.0,623.344707218048,701.1456364036012,296.83011848699465,330.702210747283,485.776078555126,693.4088450138544,304.40920445989275,482.58543065141987,526.161321869726
11,12,False,568.153317215858,360.509225477274,11.0,0.0,672.878215963042,False,118.224122550417,305.015099766473,11.0,0.0,327.125593982445,True,655.111671283631,365.616359189779,11.0,0.0,750.231047050988,False,201.938650594798,589.372622392439,11.0,0.0,623.008271718593,701.1456364036012,296.83011848699465,330.702210747283,485.776078555126,693.4088450138544,304.40920445989275,482.58543065141987,526.161321869726
