,Unnamed: 0,obs_2_in_lawn,obs_2_x,obs_2_y,obs_2_t,obs_2_z,obs_2_speed,obs_4_in_lawn,obs_4_x,obs_4_y,obs_4_t,obs_4_z,obs_4_speed,obs_5_in_lawn,obs_5_x,obs_5_y,obs_5_t,obs_5_z,obs_5_speed,obs_6_in_lawn,obs_6_x,obs_6_y,obs_6_t,obs_6_z,obs_6_speed,obs_7_in_lawn,obs_7_x,obs_7_y,obs_7_t,obs_7_z,obs_7_speed,obs_2_average_speed,obs_2_total_distance,obs_4_average_speed,obs_4_total_distance,obs_5_average_speed,obs_5_total_distance,obs_6_average_speed,obs_6_total_distance,obs_7_average_speed,obs_7_total_distance
0,1,False,554.135867010704,329.640040074291,0.0,0.0,644.770591084833,False,662.140029585196,351.121728923492,0.0,0.0,749.477075901129,False,372.878473522887,338.186868826337,0.0,0.0,503.397173475696,False,531.399227934781,350.187948057547,0.0,0.0,636.40925387241,False,700.637473499196,438.950584335478,0.0,0.0,826.783215093167,623.3747915826032,80.73438733727981,832.3937618549622,300.98332047339005,605.7545275233274,269.77622886151903,587.6385996496564,348.0965165683006,822.5278084010105,97.07337071185479
1,2,False,553.819882611372,329.104984617701,1.0,0.0,644.225545345643,False,662.562768489041,351.194455035821,1.0,0.0,749.884636084625,False,372.368692854299,338.403515868671,1.0,0.0,503.16536344456097,False,530.436272747806,350.338079126898,1.0,0.0,635.688138266642,False,700.251823304247,439.50378791661905,1.0,0.0,826.750382905251,623.3747915826032,80.73438733727981,832.3937618549622,300.98332047339005,605.7545275233274,269.77622886151903,587.6385996496564,348.0965165683006,822.5278084010105,97.07337071185479
2,3,False,553.773993911648,328.804014697874,2.0,0.0,644.032387706005,False,662.924126705538,351.113950493703,2.0,0.0,750.16625090682,False,372.230182321123,338.466347992259,2.0,0.0,503.105135487637,False,529.735615251096,350.058359906439,2.0,0.0,634.949350268069,False,700.230677505486,439.41736856237,2.0,0.0,826.686534010365,623.3747915826032,80.73438733727981,832.3937618549622,300.98332047339005,605.7545275233274,269.77622886151903,587.6385996496564,348.0965165683006,822.5278084010105,97.07337071185479
3,4,False,553.630314397723,328.500239638236,3.0,0.0,643.753782484033,False,663.295000237192,351.008391897926,3.0,0.0,750.44463388209,False,372.33402185746496,338.422767742633,3.0,0.0,503.152654329816,False,528.438035044828,349.84047900471,3.0,0.0,633.746887670688,False,699.891461025191,439.89638675631,3.0,0.0,826.654031803652,623.3747915826032,80.73438733727981,832.3937618549622,300.98332047339005,605.7545275233274,269.77622886151903,587.6385996496564,348.0965165683006,822.5278084010105,97.07337071185479
4,5,False,553.59906458793,328.690388563584,4.0,0.0,643.823963398933,False,663.558826824233,351.072443280544,4.0,0.0,750.707784086008,False,372.905177622997,338.191668867095,4.0,0.0,503.420178766356,False,527.961339904659,349.772058341841,4.0,0.0,633.311668320276,False,699.836753513889,440.053264622461,4.0,0.0,826.691210352297,623.3747915826032,80.73438733727981,832.3937618549622,300.98332047339005,605.7545275233274,269.77622886151903,587.6385996496564,348.0965165683006,822.5278084010105,97.07337071185479
5,6,False,553.544951046927,328.64816094913,5.0,0.0,643.755874943903,False,663.983096610238,351.102266953609,5.0,0.0,751.096767696469,False,374.300444600495,337.535223729769,5.0,0.0,504.014732013295,False,526.580053110822,349.506930844216,5.0,0.0,632.013961113471,False,699.901228372574,440.106400746815,5.0,0.0,826.77407642944,623.3747915826032,80.73438733727981,832.3937618549622,300.98332047339005,605.7545275233274,269.77622886151903,587.6385996496564,348.0965165683006,822.5278084010105,97.07337071185479
6,7,False,553.621502616951,328.556782150473,6.0,0.0,643.775059517627,False,664.352370753982,350.98402469354,6.0,0.0,751.367991144494,False,374.542390240945,337.46876559653,6.0,0.0,504.149947774118,False,525.812304389666,349.390025650129,6.0,0.0,631.309725468703,False,699.826735445718,440.174962698396,6.0,0.0,826.74751734199,623.3747915826032,80.73438733727981,832.3937618549622,300.98332047339005,605.7545275233274,269.77622886151903,587.6385996496564,348.0965165683006,822.5278084010105,97.07337071185479
7,8,False,553.569110236767,328.436949475312,7.0,0.0,643.668850876733,False,664.738581407982,350.909707621893,7.0,0.0,751.674799707679,False,375.146639065236,337.218514602202,7.0,0.0,504.431687538023,False,525.850019592723,349.54494396552,7.0,0.0,631.426884886544,False,699.798970002457,440.151430542133,7.0,0.0,826.711485480144,623.3747915826032,80.73438733727981,832.3937618549622,300.98332047339005,605.7545275233274,269.77622886151903,587.6385996496564,348.0965165683006,822.5278084010105,97.07337071185479
8,9,False,553.478961765464,328.358115197241,8.0,0.0,643.55109582135,False,665.725692164701,350.416001376052,8.0,0.0,752.317799356463,False,376.604905922224,336.672558566271,8.0,0.0,505.153112289973,False,525.072725097945,349.670942683808,8.0,0.0,630.849534199055,False,699.836638903418,440.351176622344,8.0,0.0,826.849732360309,623.3747915826032,80.73438733727981,832.3937618549622,300.98332047339005,605.7545275233274,269.77622886151903,587.6385996496564,348.0965165683006,822.5278084010105,97.07337071185479
9,10,False,553.380281154876,328.397369524815,9.0,0.0,643.486260833802,False,666.721219870893,349.862278249742,9.0,0.0,752.941431167279,False,375.921937585051,336.873142931867,9.0,0.0,504.777988413216,False,524.076017050469,349.564370577338,9.0,0.0,629.961047069273,False,699.8019927454,440.403557604136,9.0,0.0,826.848306886343,623.3747915826032,80.73438733727981,832.3937618549622,300.98332047339005,605.7545275233274,269.77622886151903,587.6385996496564,348.0965165683006,822.5278084010105,97.07337071185479
