,obs_1_in_lawn,obs_1_x,obs_1_y,obs_1_t,obs_1_z,obs_1_speed,obs_2_in_lawn,obs_2_x,obs_2_y,obs_2_t,obs_2_z,obs_2_speed,obs_5_in_lawn,obs_5_x,obs_5_y,obs_5_t,obs_5_z,obs_5_speed,obs_7_in_lawn,obs_7_x,obs_7_y,obs_7_t,obs_7_z,obs_7_speed
1,TRUE,428.3705242621850,245.15747770759900,0.0,0.0,493.56204770283100,TRUE,565.421353351942,260.5066302666210,0.0,0.0,622.5471959933730,FALSE,318.58849715877800,429.554287532579,0.0,0.0,534.8041851551930,TRUE,443.2818538593830,436.33674654292700,0.0,0.0,622.0036642534170
2,TRUE,428.4589865671840,245.26065210435400,1.0,0.0,493.6900754935550,TRUE,565.4996983174060,260.47178852152700,1.0,0.0,622.6037756171100,FALSE,319.3390054946010,429.66835630790300,1.0,0.0,535.343158023539,TRUE,443.4928771661910,436.16924814993400,1.0,0.0,622.0366107624410
3,TRUE,428.6660374476240,245.2110904773930,2.0,0.0,493.8451686046550,TRUE,565.5251716609920,260.44124638523000,2.0,0.0,622.6141362038670,FALSE,319.6899427490400,429.77029777786400,2.0,0.0,535.6343606854940,TRUE,443.63022049951100,436.0626879480200,2.0,0.0,622.0598366402510
4,TRUE,428.548691923722,245.30481905231900,3.0,0.0,493.78986988376300,TRUE,565.6981268354880,260.33790898387900,3.0,0.0,622.7280285640580,FALSE,320.56499487871100,429.74806752811000,3.0,0.0,536.139270605813,TRUE,443.64688653925800,436.0058274760770,3.0,0.0,622.0318653646900
5,TRUE,428.4142523313100,245.19496227091200,4.0,0.0,493.6186191014570,TRUE,565.9732413898850,260.1586043749530,4.0,0.0,622.9030497595080,FALSE,320.3543063832810,429.7783245497790,4.0,0.0,536.0375825174280,TRUE,443.758056177114,435.8034032612310,4.0,0.0,621.9693068923600
6,TRUE,428.74374311724400,245.08352086361200,5.0,0.0,493.84929833005700,TRUE,565.952195079476,260.1778717780650,5.0,0.0,622.8919746458770,FALSE,320.49698869738100,429.63702374601600,5.0,0.0,536.009600601914,TRUE,443.96287291243400,435.7824852273620,5.0,0.0,622.1008012819130
7,TRUE,428.5698862742130,245.2973175854170,6.0,0.0,493.80453768236300,TRUE,565.8789889803370,260.10909991979800,6.0,0.0,622.796735725626,FALSE,320.5643044602060,429.68839647100100,6.0,0.0,536.0910289828360,TRUE,443.77078110107300,435.9683167835250,6.0,0.0,622.0939474051460
8,TRUE,428.5989836010940,245.12840380428500,7.0,0.0,493.74590944688100,TRUE,565.8418546167330,260.30899923599900,7.0,0.0,622.8465136125840,FALSE,321.0957745359520,429.5769215770450,7.0,0.0,536.3197068693760,TRUE,443.8379207490300,435.7313520225770,7.0,0.0,621.9758122549830
9,TRUE,428.62198697604600,245.09018037440500,8.0,0.0,493.7469030133270,TRUE,565.9122589800600,260.1568647842480,8.0,0.0,622.8469147055990,FALSE,321.7894001302200,429.41383237854900,8.0,0.0,536.6047497685790,TRUE,443.9056214202840,435.790715000607,8.0,0.0,622.0657103628750
10,TRUE,428.3535133458780,245.28837429002800,9.0,0.0,493.61231645655100,TRUE,565.8111284614900,260.43842570163000,9.0,0.0,622.8727050311390,FALSE,322.36324833497400,429.25432573967800,9.0,0.0,536.8215160025740,TRUE,443.7799981977090,435.8356575937900,9.0,0.0,622.0075620364840
11,TRUE,428.6338888984510,245.06039034131700,10.0,0.0,493.7424486779000,TRUE,565.8948944754970,260.18951759258800,10.0,0.0,622.8447773390240,FALSE,322.43663229129300,429.1317717625850,10.0,0.0,536.7676027662680,TRUE,443.76688035768600,435.7858842413170,10.0,0.0,621.9633277021880
12,TRUE,428.4911573190400,245.27428909354600,11.0,0.0,493.7247702829530,TRUE,565.6912434546810,260.4495021450260,11.0,0.0,622.7684369722790,FALSE,322.9042577259740,428.9647677383020,11.0,0.0,536.9151996529220,TRUE,443.7798598549740,435.7383909483900,11.0,0.0,621.9393132446220
13,TRUE,428.3815898326420,245.21581638825700,12.0,0.0,493.6006311933780,TRUE,565.9736976010140,260.5597780070990,12.0,0.0,623.071122979771,FALSE,322.8821228875150,429.1977749755480,12.0,0.0,537.0880703611920,TRUE,443.80528843295700,435.77075311271200,12.0,0.0,621.9801309603710
14,TRUE,428.383954963659,245.1342180881520,13.0,0.0,493.5621518593130,TRUE,565.9367206143690,260.4520971906090,13.0,0.0,622.9925093215260,FALSE,323.8520800064510,429.1396556319250,13.0,0.0,537.6253470218760,TRUE,443.847146088866,435.7300472523230,13.0,0.0,621.981481372028
15,TRUE,428.466543232934,245.01708245099600,14.0,0.0,493.5756774424550,TRUE,565.8759160557110,260.5148877618910,14.0,0.0,622.9635295243860,FALSE,323.7779503624540,429.07665486267700,14.0,0.0,537.5304055484270,TRUE,443.7886297689780,435.7116236986460,14.0,0.0,621.926817992549
16,TRUE,428.5908279251160,244.9812343851050,15.0,0.0,493.6657806475810,TRUE,565.5295317335070,260.4400014415360,15.0,0.0,622.6175757345650,FALSE,324.6172266394190,429.014794559589,15.0,0.0,537.9870238045470,TRUE,443.91057834330300,435.7402379886420,15.0,0.0,622.0338869928910
17,TRUE,428.6639636484170,245.30103555949100,16.0,0.0,493.8880356693510,TRUE,565.5304695003070,260.4609237037660,16.0,0.0,622.627179546361,FALSE,325.4841594601090,428.96685994165500,16.0,0.0,538.472380895861,TRUE,443.85635272132400,435.787952931389,16.0,0.0,622.0286181287860
18,TRUE,428.52325668559100,245.21212203553200,17.0,0.0,493.72174988913900,TRUE,565.7031550570530,260.35482333082000,17.0,0.0,622.7396676566600,FALSE,325.69829415488700,428.95285238685000,17.0,0.0,538.5906872442360,TRUE,443.9342265728650,435.72831746243900,17.0,0.0,622.0424134747530
19,TRUE,428.4150120331540,245.14377138741200,18.0,0.0,493.59385245909500,TRUE,565.8604801498390,260.46083472068900,18.0,0.0,622.9269053579270,FALSE,326.150237892271,428.7459962447260,18.0,0.0,538.6994588572250,TRUE,443.9561165628830,435.8364507262610,18.0,0.0,622.1337840169590
20,TRUE,428.55792799018500,245.0851262579310,19.0,0.0,493.68878532543800,TRUE,565.8875540529030,260.5627939974100,19.0,0.0,622.994135965752,FALSE,326.2340349109270,428.71319907259800,19.0,0.0,538.7240969116980,TRUE,443.92220253656200,435.81155117202600,19.0,0.0,622.0921395098000
21,TRUE,428.64411971732800,245.26201709846200,20.0,0.0,493.8514335298110,TRUE,565.8923140461110,260.5112405962720,20.0,0.0,622.9768997109530,FALSE,326.95545661075400,428.4514955752170,20.0,0.0,538.9532026699420,TRUE,444.02325113054900,435.79701642982500,20.0,0.0,622.1540702058290
22,TRUE,428.56351532242600,245.15551522406500,21.0,0.0,493.7285826345200,TRUE,565.7875846045980,260.55122220919900,21.0,0.0,622.8984911584010,FALSE,326.6803402243070,428.447168964356,21.0,0.0,538.7829073779540,TRUE,444.0651605413010,435.7835384173700,21.0,0.0,622.1745407537460
23,TRUE,428.5268349345310,245.16904915329400,22.0,0.0,493.70346456323100,TRUE,565.9134573424690,260.5066184466150,22.0,0.0,622.9941728907230,FALSE,327.38075870221700,428.3744176247580,22.0,0.0,539.1500745096770,TRUE,443.99417284305400,435.7895960229500,22.0,0.0,622.1281198599160
24,TRUE,428.44169405434500,245.27994673119900,23.0,0.0,493.68465387595000,TRUE,565.8708022978870,260.3924263422230,23.0,0.0,622.907682236818,FALSE,328.27650532071300,428.3790214175190,23.0,0.0,539.6981099987390,TRUE,444.0265081940140,435.6805269812920,23.0,0.0,622.0748038376610
25,TRUE,428.54404951776000,245.3249902627040,24.0,0.0,493.79586189484800,TRUE,565.8378808775420,260.4052450039940,24.0,0.0,622.8831343531290,FALSE,328.2591772524800,428.4058294343870,24.0,0.0,539.7088494214640,TRUE,444.1176640598620,435.57740384394600,24.0,0.0,622.0676605236930
26,TRUE,428.5104674986950,245.06353372007100,25.0,0.0,493.6368668518570,TRUE,566.0710856104460,260.17640915616800,25.0,0.0,622.9993883187910,FALSE,328.5144933840530,428.4764864758640,25.0,0.0,539.9202458012500,TRUE,444.0187305202190,435.77413844355900,25.0,0.0,622.1348188206580
27,TRUE,428.6740308692390,245.11119325701800,26.0,0.0,493.8025129558990,TRUE,566.0831318129350,260.1569461602740,26.0,0.0,623.0022060623710,FALSE,329.23226772375200,428.4125915703230,26.0,0.0,540.3066117738380,TRUE,444.07207459916200,435.6873172813150,26.0,0.0,622.1120846588600
28,TRUE,428.5418625578010,245.25651486775900,27.0,0.0,493.75994779810700,TRUE,566.0855287803420,260.0236670524740,27.0,0.0,622.9487405252010,FALSE,330.0183803979820,428.326397104182,27.0,0.0,540.7177025553690,TRUE,444.05991525508900,435.69288723431100,27.0,0.0,622.1073061160170
29,TRUE,428.685762999976,245.19935422935000,28.0,0.0,493.85646367478200,TRUE,566.14149677906,260.01612907973900,28.0,0.0,622.9964540483730,FALSE,330.02116020266500,428.17972008360000,28.0,0.0,540.6032175934420,TRUE,444.14005452071700,435.747792883459,28.0,0.0,622.2029628927130
30,TRUE,428.67002789616900,245.37112612680600,29.0,0.0,493.92811456044800,TRUE,566.5369299446700,259.77300484473500,29.0,0.0,623.2544480685200,FALSE,330.7726431387240,428.12864475313700,29.0,0.0,541.0218830205810,TRUE,444.25325539270500,435.8574250220330,29.0,0.0,622.3605465273760
31,TRUE,428.64665216686900,245.23336985389300,30.0,0.0,493.8394051751660,TRUE,566.4664483926590,259.7924058886290,30.0,0.0,623.198468637396,FALSE,331.35488763483200,427.65231957562200,30.0,0.0,541.0014491643270,TRUE,444.0181787199620,435.6556850417050,30.0,0.0,622.0514600440620
32,TRUE,428.3451719875140,245.19218574329800,31.0,0.0,493.5572857476520,TRUE,566.586257361872,259.70063253712200,31.0,0.0,623.2691277221380,FALSE,331.7145106393150,427.567554904178,31.0,0.0,541.1548120227870,TRUE,444.2137082361710,435.8240891215470,31.0,0.0,622.3089708846850
33,TRUE,428.40570684591400,245.20029223730300,32.0,0.0,493.6138500603550,TRUE,566.6251996192250,259.7901443302440,32.0,0.0,623.3418291232000,FALSE,331.92391176767400,427.45931650364400,32.0,0.0,541.1976999848740,TRUE,444.24458200949000,435.85568859745200,32.0,0.0,622.3531392445490
34,TRUE,428.5501942472330,245.3352277824410,33.0,0.0,493.8062808231610,TRUE,566.6929356487860,259.6928497795690,33.0,0.0,623.3628634598580,FALSE,332.09981971403400,427.50967098869200,33.0,0.0,541.3453694666220,TRUE,443.99769767998200,435.6445671060760,33.0,0.0,622.0290543006530
35,TRUE,428.31943721811500,245.1628443067290,34.0,0.0,493.5203749871010,TRUE,566.6062099859640,259.7633572311580,34.0,0.0,623.3134034774640,FALSE,332.15225496505900,427.4238775899910,34.0,0.0,541.3097926441360,TRUE,443.99225092813300,435.6831477829820,34.0,0.0,622.0521876388820
36,TRUE,428.69262822608300,245.33551235795200,35.0,0.0,493.930038689009,TRUE,566.7004582228330,259.90133390887400,35.0,0.0,623.4565844688630,FALSE,332.59211475607200,427.1828300908670,35.0,0.0,541.3895871942480,TRUE,444.04921938731700,435.7286667889500,35.0,0.0,622.1247305003730
37,TRUE,428.548359139389,245.1781876832780,36.0,0.0,493.72668536014900,TRUE,566.7619151232950,259.68113612490500,36.0,0.0,623.4206933470740,FALSE,332.6106644426060,427.14941373186400,36.0,0.0,541.3746168342460,TRUE,444.0193470297910,435.6863325311090,36.0,0.0,622.0737584010200
38,TRUE,428.6083806021310,245.2413107551710,37.0,0.0,493.81012993183500,TRUE,566.6336909679420,259.747850895691,37.0,0.0,623.3319226422490,FALSE,332.66467149223500,427.0529126375630,37.0,0.0,541.3316671424850,TRUE,443.97235491876700,435.5174561083820,37.0,0.0,621.9219456710240
39,TRUE,428.4141205558750,245.21503729734500,38.0,0.0,493.6284769018110,TRUE,566.5506902998530,260.03324555176200,38.0,0.0,623.3754674924440,FALSE,332.88962076987000,426.6878263246440,38.0,0.0,541.1820403061770,TRUE,443.9693808963290,435.62618555991100,38.0,0.0,621.995968410526
40,TRUE,428.76058995210700,245.29367595384200,39.0,0.0,493.96824893815600,TRUE,566.663489561236,259.7680065631920,39.0,0.0,623.3674098278890,FALSE,333.04736301752100,426.62958286048400,39.0,0.0,541.2331724724890,TRUE,444.03862689615500,435.5886461700220,39.0,0.0,622.0191081052530
41,TRUE,428.717672213468,245.13787543005000,40.0,0.0,493.8536427308130,TRUE,566.3055273955690,259.9189836480890,40.0,0.0,623.1049898848740,FALSE,333.04762578968700,426.22026896958000,40.0,0.0,540.9107493151240,TRUE,444.0365045236810,435.7121416036450,40.0,0.0,622.1040810752200
42,TRUE,428.45803717918700,245.1246906602090,41.0,0.0,493.6217211536630,TRUE,565.6931358448640,260.30577344434700,41.0,0.0,622.7100606465710,FALSE,333.1738164669240,426.0125489480910,41.0,0.0,540.8248180699410,TRUE,443.9993647813290,435.6437782308680,41.0,0.0,622.0296917651830
43,TRUE,428.6931666789440,245.1188367350600,42.0,0.0,493.8229189492630,TRUE,565.5050386644710,260.4612943356400,42.0,0.0,622.6042359331500,FALSE,333.264044094756,426.0243566350880,42.0,0.0,540.889707364387,TRUE,444.06897310026800,435.72238115273000,42.0,0.0,622.1344278431570
44,TRUE,428.4905509759310,245.2715786903480,43.0,0.0,493.7228975740460,TRUE,565.1046493696320,260.4848143261220,43.0,0.0,622.2504344985940,FALSE,333.3019292109060,425.98725063053000,43.0,0.0,540.883826450255,TRUE,443.9988912117440,435.5583358978650,43.0,0.0,621.9695164293630
45,TRUE,428.7143586575010,245.26232463826600,44.0,0.0,493.91255218518,TRUE,564.5682812994750,260.4531908525050,44.0,0.0,621.7501177118470,FALSE,333.26705843633800,425.94757059553000,44.0,0.0,540.831087434001,TRUE,443.9255395712330,435.632317876287,44.0,0.0,621.9689711407450
46,TRUE,428.50388847930500,245.2724124424320,45.0,0.0,493.73488710766200,TRUE,563.949683737799,260.35998273088200,45.0,0.0,621.1493913669950,FALSE,333.31284400389900,425.8387117232170,45.0,0.0,540.7735758892590,TRUE,443.945245798178,435.55574895691900,45.0,0.0,621.929410557362
47,TRUE,428.5676364228830,245.24100935395200,46.0,0.0,493.7746162552730,TRUE,563.3505660242800,260.3042301138600,46.0,0.0,620.582107746466,FALSE,333.29129232837800,425.7103452900560,46.0,0.0,540.6592121002830,TRUE,444.0110323961040,435.77120104808400,46.0,0.0,622.12726716673
48,TRUE,428.6116939182410,245.21538192335800,47.0,0.0,493.8001292985680,TRUE,562.8471092071620,260.1555992935550,47.0,0.0,620.0627421371550,FALSE,333.1940948355400,425.9489082922500,47.0,0.0,540.787183010687,TRUE,443.9666689545580,435.6459345429540,47.0,0.0,622.0078644409650
49,TRUE,428.6791912281480,245.1766391078370,48.0,0.0,493.83948136639900,TRUE,562.269274555375,259.90390836790300,48.0,0.0,619.4326264364340,FALSE,333.3496797777270,426.1106294401410,48.0,0.0,541.0104227552240,TRUE,443.9314128591580,435.66132645010700,48.0,0.0,621.9934812258040
50,TRUE,428.65797696385900,245.1777307864330,49.0,0.0,493.82160836513900,TRUE,562.2678495194480,259.9391480420880,49.0,0.0,619.4461197618980,FALSE,333.4216514635920,425.8731234025910,49.0,0.0,540.8677425225030,TRUE,443.99162486376200,435.6477069655410,49.0,0.0,622.0269186566590
51,TRUE,428.5607924777050,245.17997260865000,50.0,0.0,493.73836372870300,TRUE,562.3529665782300,259.9070253044020,50.0,0.0,619.5099037319090,FALSE,333.46009103495500,426.04484945610200,50.0,0.0,541.0266592887210,TRUE,443.91871092864900,435.625249312861,50.0,0.0,621.95914636851
52,TRUE,428.5745066652510,245.25453697887600,51.0,0.0,493.7872980060200,TRUE,562.6736635769470,260.11628875492400,51.0,0.0,619.8888088671540,FALSE,334.07608569872500,425.6323533392520,51.0,0.0,541.0820004813420,TRUE,443.9584348043240,435.7085373613210,51.0,0.0,622.0458354200650
53,TRUE,428.55973041325200,245.25149694329400,52.0,0.0,493.77296329872700,TRUE,562.9210927236350,260.18341097033500,52.0,0.0,620.1415676902570,FALSE,334.3046434413760,425.61833934108700,52.0,0.0,541.2121260743610,TRUE,443.99161753035600,435.7525416813900,52.0,0.0,622.1003407964130
54,TRUE,428.5847003268860,245.15932139700300,53.0,0.0,493.748861489448,TRUE,563.2484179849880,260.3593380086970,53.0,0.0,620.5125020907470,FALSE,334.63832832045300,425.4908898384660,53.0,0.0,541.3181209941500,TRUE,443.94983103929200,435.698414218475,53.0,0.0,622.0326041553690
55,TRUE,428.5399069574760,245.19235843550100,54.0,0.0,493.7263862609380,TRUE,563.4012101200640,260.4204817203120,54.0,0.0,620.6768489835850,FALSE,334.7751604013920,425.45927556687700,54.0,0.0,541.3778746750460,TRUE,443.9516850916830,435.64493966692400,54.0,0.0,621.9964727819150
56,TRUE,428.4748895224330,245.1574245182360,55.0,0.0,493.65260431570300,TRUE,563.3148456568740,260.35036301636400,55.0,0.0,620.5690347255330,FALSE,334.73070409852500,425.30315620512800,55.0,0.0,541.2276960248230,TRUE,443.9863782964560,435.71395620195400,55.0,0.0,622.0695746795220
57,TRUE,428.4239169431860,245.28857169197300,56.0,0.0,493.67351155559300,TRUE,563.318899896223,260.4472993902470,56.0,0.0,620.6133891078760,FALSE,335.0942361088110,425.14598880857700,56.0,0.0,541.3291594523340,TRUE,444.0109831351110,435.6620100104760,56.0,0.0,622.050753645533
58,TRUE,428.5557176932260,245.05809459940700,57.0,0.0,493.6734476313750,TRUE,563.3927154213300,260.40965453310700,57.0,0.0,620.6645953845540,FALSE,334.88765351217400,425.2142739415550,57.0,0.0,541.2549484656320,TRUE,443.8980208100390,435.75274529262000,57.0,0.0,622.033687117607
59,TRUE,428.50294740250900,245.36493346902700,58.0,0.0,493.7800385889430,TRUE,563.5173696025460,260.41537148586500,58.0,0.0,620.7801475159250,FALSE,335.2507680222110,424.8274649446080,58.0,0.0,541.175990257092,TRUE,443.9462213788850,435.76952972342600,58.0,0.0,622.0798425539650
60,TRUE,428.6282769233390,245.17033947122200,59.0,0.0,493.7921578303010,TRUE,563.4152479208110,260.33284532944100,59.0,0.0,620.6528272287100,FALSE,335.3407733535850,424.80998682583500,59.0,0.0,541.2180329408350,TRUE,443.9298060771870,435.66216365235800,59.0,0.0,621.9929208294760
61,TRUE,428.4641233778460,245.29474889159900,60.0,0.0,493.7114732875250,TRUE,563.5900205172740,260.48431853900600,60.0,0.0,620.8750207822760,FALSE,335.33028136305400,424.78645329269700,60.0,0.0,541.1930602844180,TRUE,443.88755970133000,435.66536122728100,60.0,0.0,621.9650091692450
62,TRUE,428.52903157283600,245.27996364883600,61.0,0.0,493.76045960397300,TRUE,563.6020155270070,260.5409134521380,61.0,0.0,620.9096548521200,FALSE,335.43397320612000,424.68005554318600,61.0,0.0,541.1738167696290,TRUE,443.9532786808180,435.75427872159800,61.0,0.0,622.0741957963120
63,TRUE,428.47028485832600,245.30700998911100,62.0,0.0,493.7229123267140,TRUE,563.6454864223050,260.4310114565910,62.0,0.0,620.9030086032280,FALSE,335.60354305954000,424.6142501494750,62.0,0.0,541.2273085720240,TRUE,443.8995607599030,435.73845843704600,62.0,0.0,622.0247778054570
64,TRUE,428.50952896388500,245.27118127931700,63.0,0.0,493.73917079668900,TRUE,563.4929757892500,260.3529629441250,63.0,0.0,620.7318254106270,FALSE,336.0653609092550,424.3977646839530,63.0,0.0,541.3440583139370,TRUE,443.88244703366400,435.64331557925800,63.0,0.0,621.9459182223830
65,TRUE,428.58198102220900,245.2924593392260,64.0,0.0,493.81262141181300,TRUE,563.5472025034290,260.36935361425800,64.0,0.0,620.787926550563,FALSE,336.3676590257940,424.19941257240500,64.0,0.0,541.376341988885,TRUE,443.8507715060030,435.70160067358700,64.0,0.0,621.964140602977
66,TRUE,428.54410932908700,245.15582042749200,65.0,0.0,493.71188959770600,TRUE,563.5359517152540,260.40184780353300,65.0,0.0,620.7913427353120,FALSE,336.7724791501690,424.02187696569900,65.0,0.0,541.4889240404330,TRUE,443.8753787463760,435.6811233098800,65.0,0.0,621.9673569133650
67,TRUE,428.5190820438890,245.15906693307800,66.0,0.0,493.69177811184400,TRUE,563.5432803829690,260.4103088387210,66.0,0.0,620.8015446294210,FALSE,336.4589545599730,424.1351640610190,66.0,0.0,541.3827347604070,TRUE,443.9004269490430,435.86210563396700,66.0,0.0,622.1120189911280
68,TRUE,428.7001936465210,245.06812182420400,67.0,0.0,493.803848068246,TRUE,563.4009086290340,260.319154444617,67.0,0.0,620.634067720087,FALSE,336.56257717087400,424.1437597617770,67.0,0.0,541.4538736556950,TRUE,443.99098030943600,435.795431178089,67.0,0.0,622.1299288989650
69,TRUE,428.6448455307700,245.12463477747200,68.0,0.0,493.7838496497090,TRUE,563.3657191758970,260.3086596431820,68.0,0.0,620.5977214168650,FALSE,336.39356523958900,424.09837607823400,68.0,0.0,541.3132765107440,TRUE,444.0517565707270,435.76250439266400,68.0,0.0,622.1502412987680
70,TRUE,428.49855862601100,245.07247581346300,69.0,0.0,493.63096858474100,TRUE,563.5118134436620,260.40644355511600,69.0,0.0,620.7713586624210,FALSE,336.7307312180780,423.9318214042960,69.0,0.0,541.3924404217560,TRUE,444.07722840712900,435.82203233802000,69.0,0.0,622.2101161673600
71,TRUE,428.5938864514600,245.21912956404500,70.0,0.0,493.7865338460690,TRUE,563.513297504699,260.3453012192890,70.0,0.0,620.7470598654350,FALSE,336.1402228229940,424.3664587410200,70.0,0.0,541.3659951492020,TRUE,444.04288451881600,435.77407771064100,70.0,0.0,622.1520152634320
72,TRUE,428.51954664541200,245.3301496032200,71.0,0.0,493.7771604292040,TRUE,563.3748262739470,260.3362412821400,71.0,0.0,620.6175580855830,FALSE,335.07044263307900,425.2098133845970,71.0,0.0,541.3645600931890,TRUE,443.9506593132680,435.6806661197050,71.0,0.0,622.0207639100120
73,TRUE,428.67569866253500,245.16481667831400,72.0,0.0,493.83058022030600,TRUE,563.374424946328,260.28578925661800,72.0,0.0,620.5960318698040,FALSE,334.4570105604690,425.42877225314600,72.0,0.0,541.1572157643880,TRUE,443.9450782257010,435.7567761816320,72.0,0.0,622.0700928906910
74,TRUE,428.5568985265540,245.1830326937410,73.0,0.0,493.736503406016,TRUE,563.5336885241580,260.3771528916520,73.0,0.0,620.7789299336800,FALSE,334.61354020491000,425.4973950497540,73.0,0.0,541.3079109735880,TRUE,443.92098963917200,435.78340225640200,73.0,0.0,622.0715543443430
75,TRUE,428.38353009210600,245.24797193600600,74.0,0.0,493.6182903751630,TRUE,563.4969240849570,260.41194791213100,74.0,0.0,620.7601518047030,FALSE,334.8624392249060,425.2821558464920,74.0,0.0,541.292679873923,TRUE,443.9274531181140,435.8162434473780,74.0,0.0,622.0991735121650
76,TRUE,428.41214519600300,245.18064440379500,75.0,0.0,493.60967833066400,TRUE,563.4394253559450,260.39284956376800,75.0,0.0,620.6999453434620,FALSE,335.3788167120570,424.809231988965,75.0,0.0,541.2410131191410,TRUE,443.94849780846100,435.7519299550510,75.0,0.0,622.0691385737930
