,Unnamed: 0,obs_1_in_lawn,obs_1_x,obs_1_y,obs_1_t,obs_1_z,obs_1_speed,obs_2_in_lawn,obs_2_x,obs_2_y,obs_2_t,obs_2_z,obs_2_speed,obs_5_in_lawn,obs_5_x,obs_5_y,obs_5_t,obs_5_z,obs_5_speed,obs_7_in_lawn,obs_7_x,obs_7_y,obs_7_t,obs_7_z,obs_7_speed,obs_1_average_speed,obs_1_total_distance,obs_2_average_speed,obs_2_total_distance,obs_5_average_speed,obs_5_total_distance,obs_7_average_speed,obs_7_total_distance
0,1,True,428.370524262185,245.157477707599,0.0,0.0,493.562047702831,True,565.421353351942,260.506630266621,0.0,0.0,622.547195993373,False,318.588497158778,429.554287532579,0.0,0.0,534.804185155193,True,443.281853859383,436.336746542927,0.0,0.0,622.003664253417,491.2407889725765,51.19807335334666,618.1690572973308,74.4718916539847,555.306385932093,107.65843135189473,621.2614253128636,32.929020295864234
1,2,True,428.458986567184,245.260652104354,1.0,0.0,493.690075493555,True,565.499698317406,260.471788521527,1.0,0.0,622.60377561711,False,319.339005494601,429.668356307903,1.0,0.0,535.343158023539,True,443.492877166191,436.169248149934,1.0,0.0,622.036610762441,491.2407889725765,51.19807335334666,618.1690572973308,74.4718916539847,555.306385932093,107.65843135189473,621.2614253128636,32.929020295864234
2,3,True,428.666037447624,245.211090477393,2.0,0.0,493.845168604655,True,565.525171660992,260.44124638523,2.0,0.0,622.614136203867,False,319.68994274904,429.770297777864,2.0,0.0,535.634360685494,True,443.63022049951104,436.06268794802,2.0,0.0,622.059836640251,491.2407889725765,51.19807335334666,618.1690572973308,74.4718916539847,555.306385932093,107.65843135189473,621.2614253128636,32.929020295864234
3,4,True,428.548691923722,245.304819052319,3.0,0.0,493.78986988376306,True,565.698126835488,260.337908983879,3.0,0.0,622.728028564058,False,320.564994878711,429.74806752811,3.0,0.0,536.139270605813,True,443.646886539258,436.005827476077,3.0,0.0,622.03186536469,491.2407889725765,51.19807335334666,618.1690572973308,74.4718916539847,555.306385932093,107.65843135189473,621.2614253128636,32.929020295864234
4,5,True,428.41425233131,245.194962270912,4.0,0.0,493.618619101457,True,565.973241389885,260.158604374953,4.0,0.0,622.903049759508,False,320.354306383281,429.778324549779,4.0,0.0,536.037582517428,True,443.758056177114,435.803403261231,4.0,0.0,621.96930689236,491.2407889725765,51.19807335334666,618.1690572973308,74.4718916539847,555.306385932093,107.65843135189473,621.2614253128636,32.929020295864234
5,6,True,428.743743117244,245.083520863612,5.0,0.0,493.84929833005697,True,565.952195079476,260.177871778065,5.0,0.0,622.891974645877,False,320.496988697381,429.637023746016,5.0,0.0,536.009600601914,True,443.962872912434,435.782485227362,5.0,0.0,622.100801281913,491.2407889725765,51.19807335334666,618.1690572973308,74.4718916539847,555.306385932093,107.65843135189473,621.2614253128636,32.929020295864234
6,7,True,428.569886274213,245.297317585417,6.0,0.0,493.80453768236305,True,565.878988980337,260.109099919798,6.0,0.0,622.796735725626,False,320.564304460206,429.68839647100094,6.0,0.0,536.091028982836,True,443.77078110107294,435.968316783525,6.0,0.0,622.093947405146,491.2407889725765,51.19807335334666,618.1690572973308,74.4718916539847,555.306385932093,107.65843135189473,621.2614253128636,32.929020295864234
7,8,True,428.598983601094,245.128403804285,7.0,0.0,493.74590944688094,True,565.841854616733,260.308999235999,7.0,0.0,622.846513612584,False,321.095774535952,429.576921577045,7.0,0.0,536.319706869376,True,443.83792074903,435.731352022577,7.0,0.0,621.975812254983,491.2407889725765,51.19807335334666,618.1690572973308,74.4718916539847,555.306385932093,107.65843135189473,621.2614253128636,32.929020295864234
8,9,True,428.621986976046,245.090180374405,8.0,0.0,493.746903013327,True,565.91225898006,260.156864784248,8.0,0.0,622.846914705599,False,321.78940013022,429.41383237854893,8.0,0.0,536.604749768579,True,443.905621420284,435.790715000607,8.0,0.0,622.065710362875,491.2407889725765,51.19807335334666,618.1690572973308,74.4718916539847,555.306385932093,107.65843135189473,621.2614253128636,32.929020295864234
9,10,True,428.353513345878,245.288374290028,9.0,0.0,493.612316456551,True,565.81112846149,260.43842570163,9.0,0.0,622.872705031139,False,322.363248334974,429.254325739678,9.0,0.0,536.821516002574,True,443.779998197709,435.83565759379,9.0,0.0,622.007562036484,491.2407889725765,51.19807335334666,618.1690572973308,74.4718916539847,555.306385932093,107.65843135189473,621.2614253128636,32.929020295864234
10,11,True,428.633888898451,245.060390341317,10.0,0.0,493.7424486779,True,565.894894475497,260.189517592588,10.0,0.0,622.844777339024,False,322.436632291293,429.131771762585,10.0,0.0,536.767602766268,True,443.766880357686,435.785884241317,10.0,0.0,621.963327702188,491.2407889725765,51.19807335334666,618.1690572973308,74.4718916539847,555.306385932093,107.65843135189473,621.2614253128636,32.929020295864234
11,12,True,428.49115731904,245.274289093546,11.0,0.0,493.724770282953,True,565.691243454681,260.449502145026,11.0,0.0,622.768436972279,False,322.904257725974,428.964767738302,11.0,0.0,536.915199652922,True,443.779859854974,435.73839094839,11.0,0.0,621.939313244622,491.2407889725765,51.19807335334666,618.1690572973308,74.4718916539847,555.306385932093,107.65843135189473,621.2614253128636,32.929020295864234
12,13,True,428.381589832642,245.215816388257,12.0,0.0,493.600631193378,True,565.973697601014,260.559778007099,12.0,0.0,623.071122979771,False,322.882122887515,429.197774975548,12.0,0.0,537.088070361192,True,443.80528843295696,435.770753112712,12.0,0.0,621.980130960371,491.2407889725765,51.19807335334666,618.1690572973308,74.4718916539847,555.306385932093,107.65843135189473,621.2614253128636,32.929020295864234
13,14,True,428.383954963659,245.134218088152,13.0,0.0,493.562151859313,True,565.936720614369,260.452097190609,13.0,0.0,622.992509321526,False,323.852080006451,429.139655631925,13.0,0.0,537.625347021876,True,443.847146088866,435.730047252323,13.0,0.0,621.981481372028,491.2407889725765,51.19807335334666,618.1690572973308,74.4718916539847,555.306385932093,107.65843135189473,621.2614253128636,32.929020295864234
14,15,True,428.466543232934,245.017082450996,14.0,0.0,493.575677442455,True,565.875916055711,260.514887761891,14.0,0.0,622.963529524386,False,323.777950362454,429.07665486267695,14.0,0.0,537.530405548427,True,443.788629768978,435.711623698646,14.0,0.0,621.926817992549,491.2407889725765,51.19807335334666,618.1690572973308,74.4718916539847,555.306385932093,107.65843135189473,621.2614253128636,32.929020295864234
15,16,True,428.590827925116,244.981234385105,15.0,0.0,493.665780647581,True,565.529531733507,260.440001441536,15.0,0.0,622.617575734565,False,324.617226639419,429.014794559589,15.0,0.0,537.987023804547,True,443.91057834330303,435.740237988642,15.0,0.0,622.033886992891,491.2407889725765,51.19807335334666,618.1690572973308,74.4718916539847,555.306385932093,107.65843135189473,621.2614253128636,32.929020295864234
16,17,True,428.663963648417,245.301035559491,16.0,0.0,493.888035669351,True,565.530469500307,260.460923703766,16.0,0.0,622.627179546361,False,325.484159460109,428.96685994165506,16.0,0.0,538.472380895861,True,443.856352721324,435.787952931389,16.0,0.0,622.028618128786,491.2407889725765,51.19807335334666,618.1690572973308,74.4718916539847,555.306385932093,107.65843135189473,621.2614253128636,32.929020295864234
17,18,True,428.52325668559104,245.212122035532,17.0,0.0,493.72174988913906,True,565.703155057053,260.35482333082,17.0,0.0,622.73966765666,False,325.698294154887,428.95285238685,17.0,0.0,538.590687244236,True,443.934226572865,435.72831746243907,17.0,0.0,622.042413474753,491.2407889725765,51.19807335334666,618.1690572973308,74.4718916539847,555.306385932093,107.65843135189473,621.2614253128636,32.929020295864234
