,obs_3_in_lawn,obs_3_x,obs_3_y,obs_3_t,obs_3_z,obs_3_speed,obs_4_in_lawn,obs_4_x,obs_4_y,obs_4_t,obs_4_z,obs_4_speed,obs_7_in_lawn,obs_7_x,obs_7_y,obs_7_t,obs_7_z,obs_7_speed
1,TRUE,415.35079127042800,399.4306484163500,0.0,0.0,576.2474491945940,FALSE,391.9334485599050,433.9847709628830,0.0,0.0,584.7688513658760,FALSE,555.5885335163990,250.79205074788100,0.0,0.0,609.5697427638860
2,TRUE,415.48465492471500,399.4563476332560,1.0,0.0,576.3617545798910,FALSE,390.92960207474700,433.2629912192700,1.0,0.0,583.560428180826,FALSE,555.9855585659590,251.10647826224400,1.0,0.0,610.060984459069
3,TRUE,416.1857696575930,399.37136174343100,2.0,0.0,576.8085292766440,FALSE,390.7593614989950,433.0261837283820,2.0,0.0,583.2705670556920,FALSE,556.6803402925840,251.50286888719600,2.0,0.0,610.8573436791590
4,TRUE,416.44368863144200,399.32074619500000,3.0,0.0,576.9596208944720,FALSE,389.73697314049200,432.1498195622680,3.0,0.0,581.9350262532860,FALSE,556.809692673677,251.66458593414500,3.0,0.0,611.0418133554850
5,TRUE,416.8346337543930,399.4603192210690,4.0,0.0,577.3384263405280,FALSE,389.43279033039700,431.65634433849800,4.0,0.0,581.3648577203430,FALSE,557.8363517103490,252.44729284754500,4.0,0.0,612.2997884660470
6,TRUE,416.8859725788960,399.4083480153580,5.0,0.0,577.3395383978220,FALSE,388.90295321769100,430.7780705307280,5.0,0.0,580.3578663821300,FALSE,558.8912351722540,253.0387632942950,5.0,0.0,613.504709421105
7,TRUE,416.60758044527300,399.49410913915,6.0,0.0,577.1979030812110,FALSE,388.87658202146500,430.6149188478220,6.0,0.0,580.2191003224680,FALSE,559.2594028698250,253.50941076721400,6.0,0.0,614.0342832821740
8,TRUE,417.04577506584500,399.4040451624730,7.0,0.0,577.4519631903750,FALSE,388.8263422852780,429.940734480321,7.0,0.0,579.6852246007530,FALSE,559.8725018784100,253.85536784893300,7.0,0.0,614.7355253646130
9,TRUE,417.1911467045720,399.2517988774890,8.0,0.0,577.4516878454740,FALSE,388.86242352060800,429.41261996986600,8.0,0.0,579.3178597417020,FALSE,560.1857330614030,254.4766777798200,8.0,0.0,615.2775268603560
10,TRUE,417.76693734089400,399.1579119617570,9.0,0.0,577.8029531050010,FALSE,388.816111870695,429.0411018860590,9.0,0.0,579.0114299025960,FALSE,560.840463298843,255.097978279432,9.0,0.0,616.1306710394430
