,Unnamed: 0,obs_3_in_lawn,obs_3_x,obs_3_y,obs_3_t,obs_3_z,obs_3_speed,obs_4_in_lawn,obs_4_x,obs_4_y,obs_4_t,obs_4_z,obs_4_speed,obs_7_in_lawn,obs_7_x,obs_7_y,obs_7_t,obs_7_z,obs_7_speed,obs_3_average_speed,obs_3_total_distance,obs_4_average_speed,obs_4_total_distance,obs_7_average_speed,obs_7_total_distance
0,1,True,415.350791270428,399.43064841635,0.0,0.0,576.247449194594,False,391.933448559905,433.984770962883,0.0,0.0,584.768851365876,False,555.588533516399,250.792050747881,0.0,0.0,609.569742763886,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
1,2,True,415.484654924715,399.456347633256,1.0,0.0,576.361754579891,False,390.92960207474704,433.26299121927,1.0,0.0,583.560428180826,False,555.985558565959,251.106478262244,1.0,0.0,610.060984459069,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
2,3,True,416.185769657593,399.37136174343107,2.0,0.0,576.808529276644,False,390.759361498995,433.026183728382,2.0,0.0,583.270567055692,False,556.680340292584,251.502868887196,2.0,0.0,610.857343679159,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
3,4,True,416.443688631442,399.320746195,3.0,0.0,576.959620894472,False,389.736973140492,432.149819562268,3.0,0.0,581.935026253286,False,556.809692673677,251.664585934145,3.0,0.0,611.041813355485,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
4,5,True,416.834633754393,399.460319221069,4.0,0.0,577.338426340528,False,389.432790330397,431.656344338498,4.0,0.0,581.364857720343,False,557.836351710349,252.447292847545,4.0,0.0,612.299788466047,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
5,6,True,416.885972578896,399.408348015358,5.0,0.0,577.339538397822,False,388.90295321769105,430.778070530728,5.0,0.0,580.35786638213,False,558.891235172254,253.038763294295,5.0,0.0,613.504709421105,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
6,7,True,416.60758044527296,399.49410913915,6.0,0.0,577.197903081211,False,388.87658202146497,430.614918847822,6.0,0.0,580.219100322468,False,559.259402869825,253.509410767214,6.0,0.0,614.034283282174,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
7,8,True,417.04577506584496,399.404045162473,7.0,0.0,577.451963190375,False,388.826342285278,429.940734480321,7.0,0.0,579.685224600753,False,559.87250187841,253.855367848933,7.0,0.0,614.735525364613,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
8,9,True,417.191146704572,399.251798877489,8.0,0.0,577.451687845474,False,388.862423520608,429.412619969866,8.0,0.0,579.317859741702,False,560.185733061403,254.47667777982,8.0,0.0,615.277526860356,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
9,10,True,417.766937340894,399.157911961757,9.0,0.0,577.802953105001,False,388.816111870695,429.041101886059,9.0,0.0,579.011429902596,False,560.840463298843,255.097978279432,9.0,0.0,616.130671039443,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
10,11,True,418.171418036967,398.93554603619,10.0,0.0,577.941956215537,False,388.80580010234706,428.40713975399103,10.0,0.0,578.534897465504,False,561.148183301267,255.330272805929,10.0,0.0,616.506960085174,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
11,12,True,418.731044618599,398.53735084338,11.0,0.0,578.072407008536,False,388.882420040528,427.803025742101,11.0,0.0,578.139226701211,False,561.364502733714,255.69009338137,11.0,0.0,616.852923137147,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
12,13,True,419.033397434704,398.41326002078097,12.0,0.0,578.20594421543,False,388.813129132792,427.428614715264,12.0,0.0,577.815602128778,False,561.697823258944,255.832765940476,12.0,0.0,617.215399016089,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
13,14,True,419.14142393032495,398.250401705683,13.0,0.0,578.172046810531,False,388.82186901924894,426.681941327307,13.0,0.0,577.269369430304,False,561.942919290921,256.193502683035,13.0,0.0,617.588014260482,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
14,15,True,419.00211527389905,398.39992998281,14.0,0.0,578.174088674259,False,388.80917305843,426.314830597104,14.0,0.0,576.989521431211,False,562.302162373624,256.604140017082,14.0,0.0,618.085274443551,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
15,16,True,419.3270890339,398.145984582036,15.0,0.0,578.234755645528,False,388.81203433415,425.594231691704,15.0,0.0,576.459233677727,False,562.901580415444,257.175153137643,15.0,0.0,618.867714964656,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
16,17,True,419.43088141457,398.119955509635,16.0,0.0,578.292108937341,False,388.720793231819,425.24792289592096,16.0,0.0,576.14204066191,False,562.833065900921,257.097452881361,16.0,0.0,618.773108941811,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
17,18,True,419.824063229282,397.878708910472,17.0,0.0,578.411368379468,False,388.657399270301,424.634479518385,17.0,0.0,575.646606177266,False,562.834095714836,257.192213031035,17.0,0.0,618.813424016431,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
18,19,True,419.913750305281,397.778460259501,18.0,0.0,578.407521685071,False,388.668660129138,424.04002296837,18.0,0.0,575.215845092601,False,563.26693531846,257.583255158516,18.0,0.0,619.369658411766,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
19,20,True,420.312956909698,397.80820437379106,19.0,0.0,578.717849399233,False,388.864912307531,423.10402221070495,19.0,0.0,574.658971595172,False,563.634079535842,258.063726767421,19.0,0.0,619.903430130295,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
20,21,True,420.68765780778494,397.844471000259,20.0,0.0,579.01496400117,False,389.07039000474305,422.46289430622704,20.0,0.0,574.326270898378,False,564.147176413828,259.077583874786,20.0,0.0,620.792421927082,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
21,22,True,420.365627752816,398.026587755589,21.0,0.0,578.906232093226,False,389.262760766473,421.733948379066,21.0,0.0,573.920743774724,False,564.093740570735,259.013618733655,21.0,0.0,620.717168153569,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
22,23,True,422.055173478227,397.640766236324,22.0,0.0,579.86959605824,False,389.379793576582,421.092139991433,22.0,0.0,573.528738607149,False,564.167893424072,259.216554030463,22.0,0.0,620.869256650692,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
23,24,True,423.291543135455,397.175888818803,23.0,0.0,580.451907696926,True,389.869762509658,419.832288042342,23.0,0.0,572.937677066367,False,564.389606455771,259.749680527719,23.0,0.0,621.293428590349,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
24,25,True,424.06347398995,396.78319146563297,24.0,0.0,580.746701240806,True,390.458404939518,418.964407602956,24.0,0.0,572.703187371965,False,564.657896498939,260.347182071134,24.0,0.0,621.787098041594,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
25,26,True,424.17182840826,396.72641252500705,25.0,0.0,580.787040497779,True,390.841381033929,418.33376977152307,25.0,0.0,572.503386941739,False,564.814302267245,260.667666543817,25.0,0.0,622.063363675304,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
26,27,True,424.358501655434,396.341456552579,26.0,0.0,580.66056186852,True,391.002856154526,417.939191469718,26.0,0.0,572.325433025092,False,564.779294978608,260.632257999,26.0,0.0,622.016740889014,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
27,28,True,424.527682583374,396.266551870825,27.0,0.0,580.733099978986,True,391.133289075105,417.288818950596,27.0,0.0,571.939864184945,False,564.89526411676,260.843878297179,27.0,0.0,622.21072657634,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
28,29,True,424.967689000782,395.861350526864,28.0,0.0,580.778568419685,True,391.327918803222,416.831983796674,28.0,0.0,571.73983834497,False,565.054410780677,261.240886170336,28.0,0.0,622.521716689274,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
29,30,True,425.196337168604,395.65536092484,29.0,0.0,580.805552461546,True,391.534850473558,416.20125378749,29.0,0.0,571.421930616624,False,565.265475482052,261.703260490072,29.0,0.0,622.907420346784,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
30,31,True,425.459909677779,395.724818960298,30.0,0.0,581.045839055908,True,391.79516612492705,415.64188813813905,30.0,0.0,571.193164677149,False,565.540155224427,262.186148490027,30.0,0.0,623.3596422863,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
31,32,True,425.675407647171,395.625926319976,31.0,0.0,581.136323294392,True,391.84060074141104,415.76468274947,31.0,0.0,571.31368600022,False,565.476222333346,262.377604963597,31.0,0.0,623.38219866373,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
32,33,True,426.59339735623104,395.222795076176,32.0,0.0,581.535024238227,True,392.036524486289,415.346338916143,32.0,0.0,571.143780306091,False,565.78950757357,263.254636583454,32.0,0.0,624.035872817444,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
33,34,True,426.101580983343,395.48540553537504,33.0,0.0,581.352959318162,True,392.72925378003293,414.606763077322,33.0,0.0,571.082336238897,False,566.142742894841,263.635623015782,33.0,0.0,624.516890928832,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
34,35,True,425.841749417344,395.703424610342,34.0,0.0,581.310928673439,True,395.709070153601,412.79437947852,34.0,0.0,571.825907012688,False,566.161372613235,263.813400272931,34.0,0.0,624.608845600883,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
35,36,True,426.944440302201,395.171223306144,35.0,0.0,581.757553310857,True,397.143082668214,412.253107964672,35.0,0.0,572.429256011381,False,566.301967330081,264.497683470374,35.0,0.0,625.025553688098,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
36,37,True,427.778448421658,394.752504595832,36.0,0.0,582.085853477581,True,397.851960022284,411.894945082916,36.0,0.0,572.663625419348,False,566.855960832732,266.098198823465,36.0,0.0,626.205981885108,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
37,38,True,428.263403136412,394.502063966235,37.0,0.0,582.272634544679,True,398.334129515676,411.357338611822,37.0,0.0,572.612380905978,False,567.039701439933,266.675197815762,37.0,0.0,626.617653868102,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
38,39,True,428.337803839401,394.36417053142895,38.0,0.0,582.233950570476,True,398.30642221105,411.159508481803,38.0,0.0,572.450999990013,False,567.104370042146,267.082160961226,38.0,0.0,626.849461373796,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
39,40,True,428.832449422136,394.25526279649,39.0,0.0,582.524232903763,True,398.48671207362,411.127194597421,39.0,0.0,572.553255022439,False,567.333332775362,267.972707592579,39.0,0.0,627.436437013741,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
40,41,True,429.475998595915,393.795295892793,40.0,0.0,582.687196047116,True,398.443150954826,411.14487908042,40.0,0.0,572.535637438286,False,567.304387355408,268.7593275793,40.0,0.0,627.746640033679,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
41,42,True,429.701420972948,393.507466614238,41.0,0.0,582.658937516046,True,398.390241153746,411.205666326772,41.0,0.0,572.542473765732,False,567.454516039795,269.310739068253,41.0,0.0,628.11854132118,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
42,43,True,429.94437995078306,393.05989049456,42.0,0.0,582.536048126516,True,398.512366210799,411.02808767738304,42.0,0.0,572.49995186258,False,567.434527954653,269.277201851435,42.0,0.0,628.086104727734,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
43,44,True,430.051490456124,392.959287459784,43.0,0.0,582.547239324362,True,398.640368759196,411.081443790116,43.0,0.0,572.627363154289,False,567.58554099494,269.53090034217,43.0,0.0,628.331323893516,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
44,45,True,430.12937287152494,392.686702173026,44.0,0.0,582.42091606533,True,398.828966820662,410.881914444078,44.0,0.0,572.615483891649,False,567.479928266414,269.22263071395,44.0,0.0,628.103728594087,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
45,46,True,430.181260982578,392.473948579926,45.0,0.0,582.315822912687,True,398.95992277958,410.963680814602,45.0,0.0,572.765368133387,False,567.419757444621,268.33935225082,45.0,0.0,627.671242853217,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
46,47,True,430.284905094778,392.086675607656,46.0,0.0,582.131480630867,True,399.256779344141,410.804946629146,46.0,0.0,572.858342024651,False,567.098931195232,266.929472101093,46.0,0.0,626.779499376729,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
47,48,True,430.11671751395295,392.560990586679,47.0,0.0,582.326817187198,True,399.415579901859,410.43672798622,47.0,0.0,572.705083920488,False,566.80013114714,265.664938195965,47.0,0.0,625.971443482114,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
48,49,True,430.080770234459,392.671030583501,48.0,0.0,582.374456157698,True,399.676164666601,410.25425383735,48.0,0.0,572.756134313937,False,566.536604833195,264.326621094674,48.0,0.0,625.165807794421,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
49,50,True,429.902033639639,392.710422170034,49.0,0.0,582.269039369657,True,400.009057330548,410.08508796417,49.0,0.0,572.867371489296,False,566.424882298368,263.22357017946,49.0,0.0,624.598907447604,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
50,51,True,429.320235750121,393.528432376503,50.0,0.0,582.392043140398,True,400.33549434995103,410.069339588031,50.0,0.0,573.084087465866,False,566.404379606528,262.460020332093,50.0,0.0,624.25890743359,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
51,52,True,429.36601152,393.41367033816,51.0,0.0,582.34825307331,True,400.734766458549,410.045868101891,51.0,0.0,573.34628890054,False,566.633869586207,261.522416955136,51.0,0.0,624.073646881756,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
52,53,True,429.65262205948704,393.13691598721,52.0,0.0,582.372741768128,True,400.284573466122,409.897858560613,52.0,0.0,572.925819114073,False,566.437931056836,260.835575189055,52.0,0.0,623.608151826252,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
53,54,True,429.978783855251,392.710286468178,53.0,0.0,582.325616527007,True,401.297949419852,409.81527664433906,53.0,0.0,573.575282922525,False,566.432828776195,259.965102563617,53.0,0.0,623.239924961739,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
54,55,True,430.19541645215105,392.183676190726,54.0,0.0,582.130683100377,True,402.03580444431697,409.603792714873,54.0,0.0,573.940811461947,False,566.418220209757,259.080955517151,54.0,0.0,622.858364074264,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
55,56,True,430.387735391611,392.068176185315,55.0,0.0,582.195033947214,True,402.092530322436,409.580527905673,55.0,0.0,573.963946411784,False,566.09245227481,258.20666793942,55.0,0.0,622.198800939768,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
56,57,True,430.441511101804,391.81158104951,56.0,0.0,582.062032367789,True,403.12206316253,409.466465703652,56.0,0.0,574.604372019788,False,565.889644629032,257.4828581093,56.0,0.0,621.714172364203,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
57,58,True,430.487462531722,391.674620181872,57.0,0.0,582.003834602157,True,403.79004955382703,409.447228350067,57.0,0.0,575.059507287928,False,565.736624906194,256.967086485749,57.0,0.0,621.361418417032,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
58,59,True,430.673998689415,391.337990604313,58.0,0.0,581.915385633815,True,403.926193373115,409.39356963916896,58.0,0.0,575.116913813875,False,565.586059607173,256.148045511489,58.0,0.0,620.885989567589,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
59,60,True,430.77512984052,391.177508139516,59.0,0.0,581.882338074767,True,404.798917691033,409.351911364154,59.0,0.0,575.700574171433,False,565.636710142071,255.806036995816,59.0,0.0,620.791121411905,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
60,61,True,430.725016388891,391.279809246692,60.0,0.0,581.914021885826,True,405.048889757768,409.443896385785,60.0,0.0,575.941756935173,False,565.575969647557,255.276498878178,60.0,0.0,620.517742149468,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
61,62,True,430.75823054503905,391.124961239422,61.0,0.0,581.83450266105,True,405.061517460526,409.43095061196095,61.0,0.0,575.941434736587,False,565.523777033647,255.353462363516,61.0,0.0,620.501839748633,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
62,63,True,430.596698305004,391.34461407327296,62.0,0.0,581.862632891415,True,405.000021075826,409.448192554619,62.0,0.0,575.910443956058,False,565.577668183326,255.409260417799,62.0,0.0,620.573919090108,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
63,64,True,430.455041685514,391.73188972712495,63.0,0.0,582.018398628138,True,404.818204561325,409.464735435908,63.0,0.0,575.79436286738,False,565.672561850049,255.698201718624,63.0,0.0,620.779363052716,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
64,65,True,430.298262918704,392.061814817548,64.0,0.0,582.124610121307,True,404.618187337058,409.29545322794894,64.0,0.0,575.533357466792,False,565.707139039114,255.768871743572,64.0,0.0,620.839981728625,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
65,66,True,430.17352854902,392.378308845312,65.0,0.0,582.245654270276,True,403.78408763915,409.362739422084,65.0,0.0,574.9951668125,False,565.726711983807,256.146597413511,65.0,0.0,621.013519996569,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
66,67,True,430.07884775031295,392.50714071030495,66.0,0.0,582.262544554272,True,403.207140631262,409.414523388058,66.0,0.0,574.627053154573,False,565.796002051601,256.512728187554,66.0,0.0,621.227732526324,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
67,68,True,430.00047645625693,392.939416660063,67.0,0.0,582.496175882519,True,402.786467815356,409.377584401182,67.0,0.0,574.305620088571,False,565.911229926534,256.842329456766,67.0,0.0,621.468826537374,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
68,69,True,430.092069016768,392.649510179358,68.0,0.0,582.368290410127,True,401.662014931471,409.47264898614304,68.0,0.0,573.585411692573,False,565.843643655818,257.08664411665,68.0,0.0,621.508303765005,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
69,70,True,430.12674249623103,392.354989378958,69.0,0.0,582.195372964249,True,401.554935357766,409.464333728413,69.0,0.0,573.504495802633,False,565.952463122643,257.219795735717,69.0,0.0,621.662459726265,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
70,71,True,430.213653649727,392.283104483152,70.0,0.0,582.211148853736,True,402.32672868830093,409.466184332901,70.0,0.0,574.04647262149,False,565.86373382745,257.229632705855,70.0,0.0,621.58575370027,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
71,72,True,430.101820267285,392.396156761276,71.0,0.0,582.204705956807,True,401.828395907748,409.619567709004,71.0,0.0,573.806805473676,False,565.918836167037,257.519094630404,71.0,0.0,621.755750458262,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
72,73,True,430.179765752448,392.452934266076,72.0,0.0,582.30055510611,True,402.972840102126,409.426544041325,72.0,0.0,574.471239337181,False,565.908325729235,257.396630850115,72.0,0.0,621.695471032769,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
73,74,True,430.093824361872,392.442036247155,73.0,0.0,582.229722333062,True,402.798628165843,409.55261509673505,73.0,0.0,574.438925722186,False,565.711738650585,255.761496109648,73.0,0.0,620.84113438086,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
74,75,True,430.090537778339,392.597244348106,74.0,0.0,582.331921635923,True,402.936546061892,409.616415906722,74.0,0.0,574.581124239698,False,565.381174980668,255.204492359599,74.0,0.0,620.310572167718,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
75,76,True,430.17046964352704,392.523351945094,75.0,0.0,582.341149821601,True,402.175286881921,409.531117719594,75.0,0.0,573.986670367191,False,564.85336784388,254.16065891924,75.0,0.0,619.4004905607,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
76,77,True,430.338627564797,392.00926180424494,76.0,0.0,582.119056306064,True,402.28026816810495,409.632002856651,76.0,0.0,574.132207702854,False,563.844698948435,253.164654646903,76.0,0.0,618.072153469752,584.0265020479978,95.66258875402653,575.1843822589101,125.37197853414261,608.7677710794684,116.69787621304125
